player_id,web_name,team_name,position,minutes,apps,total_points,points_per90,goals_scored,assists,clean_sheets,goals_conceded,own_goals,saves,penalties_saved,penalties_missed,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,xg,xa,xgi,xgc,selected_by_percent,status,chance_of_playing_next_round,chance_of_playing_this_round,goals_scored_per90,assists_per90,saves_per90,last_updated_utc
1,Raya,Arsenal,GK,990,11,46,4.18,0,0,5,7,0,23,0,0,1,0,3,203,221.4,20.2,0.0,24.1,0.0,0.04,0.04,8.26,35.6,a,,,0.0,0.0,2.091,2026-01-02T05:25:27Z
2,Arrizabalaga,Arsenal,GK,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,a,,,,,,2026-01-02T05:25:27Z
3,Hein,Arsenal,GK,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,u,0.0,0.0,,,,2026-01-02T05:25:27Z
4,Setford,Arsenal,GK,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,a,,,,,,2026-01-02T05:25:27Z
5,Gabriel,Arsenal,DEF,739,9,57,6.94,1,0,5,3,0,0,0,0,0,0,8,203,227.8,24.5,69.0,32.0,0.6000000000000001,0.12,0.72,5.19,18.1,a,100.0,100.0,0.122,0.0,0.0,2026-01-02T05:25:27Z
6,Saliba,Arsenal,DEF,634,9,30,4.26,0,0,3,3,0,0,0,0,0,0,1,143,142.6,26.6,14.0,18.4,0.13,0.16,0.29,4.58,11.7,a,100.0,100.0,0.0,0.0,0.0,2026-01-02T05:25:27Z
7,Calafiori,Arsenal,DEF,690,9,49,6.39,1,2,5,4,0,0,0,0,4,0,3,157,116.60000000000001,73.3,126.0,31.5,1.9100000000000001,0.18,2.0900000000000003,5.260000000000001,8.9,d,75.0,75.0,0.13,0.261,0.0,2026-01-02T05:25:27Z
8,J.Timber,Arsenal,DEF,791,10,59,6.71,2,2,4,6,0,0,0,0,2,0,7,217,234.8,158.10000000000002,199.0,59.4,2.31,0.48,2.79,6.3100000000000005,28.4,a,100.0,75.0,0.228,0.228,0.0,2026-01-02T05:25:27Z
9,Kiwior,Arsenal,DEF,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,0.0,0.0,,,,2026-01-02T05:25:27Z
10,Lewis-Skelly,Arsenal,DEF,218,9,8,3.3,0,0,0,3,0,0,0,0,2,0,0,27,24.2,33.0,18.0,7.5,0.05,0.04,0.09,2.5100000000000002,1.6,a,,,0.0,0.0,0.0,2026-01-02T05:25:27Z
11,White,Arsenal,DEF,190,3,8,3.79,0,0,1,2,0,0,0,0,0,0,0,44,39.4,37.300000000000004,26.0,10.3,0.33,0.28,0.61,3.1700000000000004,0.6,a,100.0,50.0,0.0,0.0,0.0,2026-01-02T05:25:27Z
12,Zinchenko,Arsenal,DEF,180,2,4,2.0,0,0,0,2,0,0,0,0,0,0,0,32,44.400000000000006,37.3,15.0,9.7,0.04,0.17,0.21000000000000002,2.04,0.2,a,100.0,100.0,0.0,0.0,0.0,2026-01-02T05:25:27Z
13,Clarke,Arsenal,DEF,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,a,,,,,,2026-01-02T05:25:27Z
14,Kacurri,Arsenal,DEF,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,u,0.0,0.0,,,,2026-01-02T05:25:27Z
15,Nichols,Arsenal,DEF,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,a,,,,,,2026-01-02T05:25:27Z
16,Saka,Arsenal,MID,669,9,45,6.05,2,4,3,4,0,0,0,0,1,0,5,181,173.8,274.09999999999997,224.0,67.2,2.4899999999999998,2.4899999999999998,4.9799999999999995,5.68,21.5,a,100.0,100.0,0.269,0.538,0.0,2026-01-02T05:25:27Z
17,Ødegaard,Arsenal,MID,414,9,26,5.65,1,1,1,5,0,0,0,0,0,0,3,107,123.2,181.4,72.0,37.7,0.55,1.05,1.6,5.46,2.0,a,100.0,100.0,0.217,0.217,0.0,2026-01-02T05:25:27Z
18,Madueke,Arsenal,MID,315,6,11,3.14,0,0,2,3,0,0,0,0,0,0,0,42,30.2,112.0,109.0,25.0,0.33999999999999997,0.86,1.2,2.88,0.7,a,100.0,100.0,0.0,0.0,0.0,2026-01-02T05:25:27Z
19,Martinelli,Arsenal,MID,273,10,18,5.93,1,0,1,1,0,0,0,0,0,0,1,55,51.400000000000006,43.4,82.0,17.0,1.06,0.12,1.18,3.0100000000000002,0.9,a,100.0,100.0,0.33,0.0,0.0,2026-01-02T05:25:27Z
20,Trossard,Arsenal,MID,536,9,24,4.03,1,1,2,4,0,0,0,0,0,0,0,97,102.8,174.8,184.0,46.3,2.0,1.1,3.1,3.83,1.4,a,100.0,100.0,0.168,0.168,0.0,2026-01-02T05:25:27Z
21,Rice,Arsenal,MID,893,11,60,6.05,1,5,4,7,0,0,0,0,0,0,9,245,236.8,334.5,115.0,68.7,1.36,2.18,3.54,7.54,23.3,d,50.0,50.0,0.101,0.504,0.0,2026-01-02T05:25:27Z
22,Merino,Arsenal,MID,417,10,20,4.32,1,0,2,4,0,0,0,0,0,0,0,77,85.4,64.0,80.0,22.6,0.49000000000000005,0.15000000000000002,0.64,3.5500000000000003,2.6,a,,,0.216,0.0,0.0,2026-01-02T05:25:27Z
23,Fábio Vieira,Arsenal,MID,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,0.0,0.0,,,,2026-01-02T05:25:27Z
24,Nørgaard,Arsenal,MID,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,a,100.0,100.0,,,,2026-01-02T05:25:27Z
25,Nwaneri,Arsenal,MID,145,4,6,3.72,0,0,1,0,0,0,0,0,0,0,0,15,8.2,22.0,21.0,5.0,0.18999999999999997,0.08,0.27,0.33,0.1,a,,,0.0,0.0,0.0,2026-01-02T05:25:27Z
26,Zubimendi,Arsenal,MID,918,11,42,4.12,2,0,5,6,0,0,0,0,1,0,3,195,207.0,147.29999999999998,68.0,42.300000000000004,0.6799999999999999,0.94,1.6199999999999999,7.74,2.2,a,100.0,100.0,0.196,0.0,0.0,2026-01-02T05:25:27Z
27,Nelson,Arsenal,MID,1,1,1,90.0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,3.0,0.3,0.11,0.0,0.11,0.08,0.1,a,100.0,100.0,0.0,0.0,0.0,2026-01-02T05:25:27Z
