player_id,web_name,first_name,second_name,team_name,team_short,position,current_gw,current_gw_deadline_utc,last_updated_utc,price_m,transfers_in_between_gws_current,transfers_out_between_gws_current,selected_by_percent,price_m_prev,transfers_in_between_gws_current_prev,transfers_out_between_gws_current_prev,selected_by_percent_prev,delta_price_m,delta_transfers_in_between_gws_current,delta_transfers_out_between_gws_current,delta_selected_by_percent
1,Raya,David,Raya Martín,Arsenal,ARS,GK,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.5,222703,47481,20.4,5.5,222703,47481,20.4,0.0,0,0,0.0
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,Arsenal,ARS,GK,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.5,1948,10129,0.9,4.5,1948,10129,0.9,0.0,0,0,0.0
3,Hein,Karl,Hein,Arsenal,ARS,GK,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,3352,4221,0.6,4.0,3352,4221,0.6,0.0,0,0,0.0
4,Setford,Tommy,Setford,Arsenal,ARS,GK,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,838,1253,0.2,4.0,838,1253,0.2,0.0,0,0,0.0
5,Gabriel,Gabriel,dos Santos Magalhães,Arsenal,ARS,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,6.0,228901,66116,20.2,6.0,228901,66116,20.2,0.0,0,0,0.0
6,Saliba,William,Saliba,Arsenal,ARS,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,6.0,219626,51662,16.9,6.0,219626,51662,16.9,0.0,0,0,0.0
7,Calafiori,Riccardo,Calafiori,Arsenal,ARS,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.5,182541,19503,3.5,5.5,182541,19503,3.5,0.0,0,0,0.0
8,J.Timber,Jurriën,Timber,Arsenal,ARS,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.5,11447,30996,2.1,5.5,11447,30996,2.1,0.0,0,0,0.0
9,Kiwior,Jakub,Kiwior,Arsenal,ARS,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.5,323,1761,0.1,5.5,323,1761,0.1,0.0,0,0,0.0
10,Lewis-Skelly,Myles,Lewis-Skelly,Arsenal,ARS,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.5,17350,61400,3.9,5.5,17350,61400,3.9,0.0,0,0,0.0
