player_id,web_name,team_name,team_short,position,current_gw,current_gw_deadline_utc,last_updated_utc,price_m,transfers_in_between_gws_current,transfers_out_between_gws_current,selected_by_percent,selected_by_percent_prev,delta_selected_by_percent
1,Raya,Arsenal,ARS,GK,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.5,0,0,20.7,20.7,0.0
2,Arrizabalaga,Arsenal,ARS,GK,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,0.8,0.8,0.0
3,Hein,Arsenal,ARS,GK,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,0.6,0.6,0.0
4,Setford,Arsenal,ARS,GK,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,0.2,0.2,0.0
5,Gabriel,Arsenal,ARS,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,6.0,0,0,20.6,20.6,0.0
6,Saliba,Arsenal,ARS,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,6.0,0,0,17.3,17.3,0.0
7,Calafiori,Arsenal,ARS,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.5,0,0,4.0,4.0,0.0
8,J.Timber,Arsenal,ARS,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.5,0,0,2.1,2.1,0.0
9,Kiwior,Arsenal,ARS,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.5,0,0,0.1,0.1,0.0
10,Lewis-Skelly,Arsenal,ARS,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.5,0,0,3.8,3.8,0.0
11,White,Arsenal,ARS,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.5,0,0,1.1,1.1,0.0
12,Zinchenko,Arsenal,ARS,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.0,0,0,0.4,0.4,0.0
13,Clarke,Arsenal,ARS,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,0.6,0.6,0.0
14,Kacurri,Arsenal,ARS,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,0.2,0.2,0.0
15,Nichols,Arsenal,ARS,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,0.2,0.2,0.0
16,Saka,Arsenal,ARS,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,10.0,0,0,17.1,17.1,0.0
17,Ødegaard,Arsenal,ARS,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,8.0,0,0,3.9,3.9,0.0
18,Madueke,Arsenal,ARS,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,7.0,0,0,1.0,1.0,0.0
19,Martinelli,Arsenal,ARS,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,7.0,0,0,1.4,1.4,0.0
20,Trossard,Arsenal,ARS,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,7.0,0,0,0.3,0.3,0.0
21,Rice,Arsenal,ARS,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,6.5,0,0,8.3,8.3,0.0
22,Merino,Arsenal,ARS,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,6.0,0,0,0.6,0.6,0.0
23,Fábio Vieira,Arsenal,ARS,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.5,0,0,0.0,0.0,0.0
24,Nørgaard,Arsenal,ARS,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.5,0,0,0.5,0.5,0.0
25,Nwaneri,Arsenal,ARS,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.5,0,0,0.3,0.3,0.0
26,Zubimendi,Arsenal,ARS,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.5,0,0,2.3,2.3,0.0
27,Nelson,Arsenal,ARS,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.0,0,0,0.1,0.1,0.0
28,Kabia,Arsenal,ARS,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,0.3,0.3,0.0
29,Sambi,Arsenal,ARS,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,0.1,0.1,0.0
30,Havertz,Arsenal,ARS,FWD,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,7.5,0,0,1.0,1.0,0.0
31,G.Jesus,Arsenal,ARS,FWD,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,6.5,0,0,0.0,0.0,0.0
662,Mosquera,Arsenal,ARS,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.5,0,0,0.1,0.1,0.0
666,Gyökeres,Arsenal,ARS,FWD,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,9.0,0,0,24.8,24.8,0.0
32,Martinez,Aston Villa,AVL,GK,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.0,0,0,1.1,1.1,0.0
33,M.Bizot,Aston Villa,AVL,GK,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,0.9,0.9,0.0
34,Gauci,Aston Villa,AVL,GK,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,0.2,0.2,0.0
35,Marschall,Aston Villa,AVL,GK,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,0.0,0.0,0.0
36,Cash,Aston Villa,AVL,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,4.7,4.7,0.0
37,Digne,Aston Villa,AVL,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,2.3,2.3,0.0
38,Konsa,Aston Villa,AVL,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,16.6,16.6,0.0
39,Maatsen,Aston Villa,AVL,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,0.8,0.8,0.0
40,Mings,Aston Villa,AVL,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,1.3,1.3,0.0
41,Pau,Aston Villa,AVL,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.5,0,0,0.5,0.5,0.0
42,A.García,Aston Villa,AVL,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,0.3,0.3,0.0
43,Alex Moreno,Aston Villa,AVL,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,9.2,9.2,0.0
44,Bogarde,Aston Villa,AVL,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,0.3,0.3,0.0
45,Sousa,Aston Villa,AVL,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,0.4,0.4,0.0
46,Yasin,Aston Villa,AVL,DEF,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,4.0,0,0,0.2,0.2,0.0
47,Rogers,Aston Villa,AVL,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,7.0,0,0,9.7,9.7,0.0
48,Tielemans,Aston Villa,AVL,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,6.0,0,0,2.2,2.2,0.0
49,Bailey,Aston Villa,AVL,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.5,0,0,0.4,0.4,0.0
50,Buendía,Aston Villa,AVL,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.4,0,0,0.1,0.1,0.0
51,Iling Jr,Aston Villa,AVL,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.5,0,0,0.0,0.0,0.0
53,Malen,Aston Villa,AVL,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.4,0,0,1.5,1.5,0.0
54,McGinn,Aston Villa,AVL,MID,1,2025-08-15T17:30:00+00:00,2025-08-22T11:30:03.066165+00:00,5.5,0,0,0.7,0.7,0.0
