id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_this_round,news,minutes,total_points,expected_goals,expected_assists,expected_goal_involvements
1,Raya,1,1,60,0,5,5102,18870,34.7,a,,,2520,112,0.0,0.06,0.06
2,Arrizabalaga,1,1,41,0,-4,51,96,0.4,a,,,0,0,0.0,0.0,0.0
3,Hein,1,1,40,0,0,0,29,0.2,u,0.0,Has joined Werder Bremen on loan for the rest of the season.,0,0,0.0,0.0,0.0
4,Setford,1,1,39,0,-1,79,72,0.2,a,,,0,0,0.0,0.0,0.0
5,Gabriel,1,2,71,0,11,9508,17928,42.9,a,100.0,,1895,144,1.84,1.02,2.86
6,Saliba,1,2,61,0,1,3608,18374,13.8,a,100.0,,1894,86,0.62,0.61,1.23
7,Calafiori,1,2,56,0,1,619,6963,6.3,a,100.0,,1347,86,2.77,0.4,3.17
8,J.Timber,1,2,64,0,9,6276,66580,29.3,a,100.0,,2235,127,4.3,1.44,5.74
9,Kiwior,1,2,54,0,-1,0,3,0.0,u,0.0,has joined Porto on loan for the rest of the season.,0,0,0.0,0.0,0.0
10,Lewis-Skelly,1,2,51,0,-4,178,384,1.4,a,,,311,12,0.05,0.06,0.11
11,White,1,2,51,0,-4,133,535,0.5,d,100.0,Knock - 75% chance of playing,409,30,0.43,0.49,0.92
13,Clarke,1,2,38,0,-2,52,122,0.4,a,,,0,0,0.0,0.0,0.0
14,Kacurri,1,2,39,0,-1,0,14,0.1,u,0.0,has joined Morecambe on loan for the rest of the season.,0,0,0.0,0.0,0.0
15,Nichols,1,2,37,0,-3,477,191,0.2,a,,,0,0,0.0,0.0,0.0
16,Saka,1,3,98,0,-2,6048,3238,7.7,d,100.0,Knock - 75% chance of playing,1725,119,6.58,5.36,11.94
17,Ødegaard,1,3,78,0,-2,129,1284,1.6,a,75.0,,1070,62,1.01,2.91,3.92
18,Madueke,1,3,68,0,-2,1400,5429,1.3,a,100.0,,829,51,0.96,1.98,2.94
19,Martinelli,1,3,68,0,-2,223,1865,1.0,a,100.0,,717,41,3.42,0.9,4.32
20,Trossard,1,3,68,0,-2,833,3589,1.1,a,100.0,,1590,97,4.82,2.57,7.39
21,Rice,1,3,76,0,11,15080,32656,34.1,a,100.0,,2325,152,2.95,5.97,8.92
22,Merino,1,3,54,0,-6,9,1246,0.9,i,0.0,Foot injury - Unknown return date,996,66,2.99,1.45,4.44
23,Fábio Vieira,1,3,54,0,-1,0,0,0.0,u,0.0,has joined Hamburger on loan for the rest of the season.,0,0,0.0,0.0,0.0
24,Nørgaard,1,3,51,0,-4,30,52,0.1,a,100.0,,32,4,0.05,0.0,0.05
25,Nwaneri,1,3,50,0,-5,0,28,0.1,u,0.0,has joined Marseille on loan for the rest of the season.,165,8,0.23,0.08,0.31
26,Zubimendi,1,3,53,0,-2,3666,13609,5.4,a,100.0,,2355,109,2.56,1.86,4.42
28,Kabia,1,3,45,0,0,0,11,0.1,u,0.0,has joined Shrewsbury Town on loan for the rest of the season.,0,0,0.0,0.0,0.0
