id,web_name,team,position,now_cost,ownership,NTI_1h,NTI_24h,momentum,status,price_freeze,forecast,risk_up,risk_down,eta_window
1,Raya,1,1,55,20.8,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2,Arrizabalaga,1,1,45,0.8,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
3,Hein,1,1,40,0.6,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
4,Setford,1,1,40,0.2,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
5,Gabriel,1,2,60,20.7,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
6,Saliba,1,2,60,17.4,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
7,Calafiori,1,2,55,4.1,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
8,J.Timber,1,2,55,2.0,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
9,Kiwior,1,2,55,0.1,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
10,Lewis-Skelly,1,2,55,3.8,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
11,White,1,2,55,1.1,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
12,Zinchenko,1,2,50,0.4,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
13,Clarke,1,2,40,0.6,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
14,Kacurri,1,2,40,0.2,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
15,Nichols,1,2,40,0.2,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
16,Saka,1,3,100,17.1,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
17,Ødegaard,1,3,80,3.9,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
18,Madueke,1,3,70,1.0,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
19,Martinelli,1,3,70,1.4,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
20,Trossard,1,3,70,0.3,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
21,Rice,1,3,65,8.3,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
22,Merino,1,3,60,0.6,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
23,Fábio Vieira,1,3,55,0.0,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
24,Nørgaard,1,3,55,0.5,0.0,0.0,flat,d,1,stable,0.0,0.0,48h+
25,Nwaneri,1,3,55,0.3,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
26,Zubimendi,1,3,55,2.3,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
27,Nelson,1,3,50,0.1,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
28,Kabia,1,3,45,0.3,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
29,Sambi,1,3,45,0.1,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
30,Havertz,1,4,75,1.0,0.0,0.0,flat,d,1,stable,0.0,0.0,48h+
31,G.Jesus,1,4,65,0.0,0.0,0.0,flat,i,1,stable,0.0,0.0,48h+
