task_name,gw,offset_hours,run_time_local
FPL Pre-Deadline GW2 - 12h,2,12,2025-08-22 07:30
FPL Pre-Deadline GW2 - 6h,2,6,2025-08-22 13:30
FPL Pre-Deadline GW2 - 1h,2,1,2025-08-22 18:30
FPL Pre-Deadline GW3 - 48h,3,48,2025-08-28 12:00
FPL Pre-Deadline GW3 - 24h,3,24,2025-08-29 12:00
FPL Pre-Deadline GW3 - 12h,3,12,2025-08-30 00:00
FPL Pre-Deadline GW3 - 6h,3,6,2025-08-30 06:00
FPL Pre-Deadline GW3 - 1h,3,1,2025-08-30 11:00
FPL Pre-Deadline GW4 - 48h,4,48,2025-09-11 12:00
FPL Pre-Deadline GW4 - 24h,4,24,2025-09-12 12:00
FPL Pre-Deadline GW4 - 12h,4,12,2025-09-13 00:00
FPL Pre-Deadline GW4 - 6h,4,6,2025-09-13 06:00
FPL Pre-Deadline GW4 - 1h,4,1,2025-09-13 11:00
FPL Pre-Deadline GW5 - 48h,5,48,2025-09-18 12:00
FPL Pre-Deadline GW5 - 24h,5,24,2025-09-19 12:00
FPL Pre-Deadline GW5 - 12h,5,12,2025-09-20 00:00
FPL Pre-Deadline GW5 - 6h,5,6,2025-09-20 06:00
FPL Pre-Deadline GW5 - 1h,5,1,2025-09-20 11:00
FPL Pre-Deadline GW6 - 48h,6,48,2025-09-25 12:00
FPL Pre-Deadline GW6 - 24h,6,24,2025-09-26 12:00
FPL Pre-Deadline GW6 - 12h,6,12,2025-09-27 00:00
FPL Pre-Deadline GW6 - 6h,6,6,2025-09-27 06:00
FPL Pre-Deadline GW6 - 1h,6,1,2025-09-27 11:00
FPL Pre-Deadline GW7 - 48h,7,48,2025-10-01 19:30
FPL Pre-Deadline GW7 - 24h,7,24,2025-10-02 19:30
FPL Pre-Deadline GW7 - 12h,7,12,2025-10-03 07:30
FPL Pre-Deadline GW7 - 6h,7,6,2025-10-03 13:30
FPL Pre-Deadline GW7 - 1h,7,1,2025-10-03 18:30
FPL Pre-Deadline GW8 - 48h,8,48,2025-10-16 12:00
FPL Pre-Deadline GW8 - 24h,8,24,2025-10-17 12:00
FPL Pre-Deadline GW8 - 12h,8,12,2025-10-18 00:00
FPL Pre-Deadline GW8 - 6h,8,6,2025-10-18 06:00
FPL Pre-Deadline GW8 - 1h,8,1,2025-10-18 11:00
FPL Pre-Deadline GW9 - 48h,9,48,2025-10-22 19:30
FPL Pre-Deadline GW9 - 24h,9,24,2025-10-23 19:30
FPL Pre-Deadline GW9 - 12h,9,12,2025-10-24 07:30
FPL Pre-Deadline GW9 - 6h,9,6,2025-10-24 13:30
FPL Pre-Deadline GW9 - 1h,9,1,2025-10-24 18:30
FPL Pre-Deadline GW10 - 48h,10,48,2025-10-30 15:30
FPL Pre-Deadline GW10 - 24h,10,24,2025-10-31 15:30
FPL Pre-Deadline GW10 - 12h,10,12,2025-11-01 03:30
FPL Pre-Deadline GW10 - 6h,10,6,2025-11-01 09:30
FPL Pre-Deadline GW10 - 1h,10,1,2025-11-01 14:30
FPL Pre-Deadline GW11 - 48h,11,48,2025-11-06 15:30
FPL Pre-Deadline GW11 - 24h,11,24,2025-11-07 15:30
FPL Pre-Deadline GW11 - 12h,11,12,2025-11-08 03:30
FPL Pre-Deadline GW11 - 6h,11,6,2025-11-08 09:30
FPL Pre-Deadline GW11 - 1h,11,1,2025-11-08 14:30
FPL Pre-Deadline GW12 - 48h,12,48,2025-11-20 15:30
FPL Pre-Deadline GW12 - 24h,12,24,2025-11-21 15:30
FPL Pre-Deadline GW12 - 12h,12,12,2025-11-22 03:30
FPL Pre-Deadline GW12 - 6h,12,6,2025-11-22 09:30
FPL Pre-Deadline GW12 - 1h,12,1,2025-11-22 14:30
FPL Pre-Deadline GW13 - 48h,13,48,2025-11-27 15:30
FPL Pre-Deadline GW13 - 24h,13,24,2025-11-28 15:30
FPL Pre-Deadline GW13 - 12h,13,12,2025-11-29 03:30
FPL Pre-Deadline GW13 - 6h,13,6,2025-11-29 09:30
FPL Pre-Deadline GW13 - 1h,13,1,2025-11-29 14:30
FPL Pre-Deadline GW14 - 48h,14,48,2025-12-01 20:30
FPL Pre-Deadline GW14 - 24h,14,24,2025-12-02 20:30
FPL Pre-Deadline GW14 - 12h,14,12,2025-12-03 08:30
FPL Pre-Deadline GW14 - 6h,14,6,2025-12-03 14:30
FPL Pre-Deadline GW14 - 1h,14,1,2025-12-03 19:30
FPL Pre-Deadline GW15 - 48h,15,48,2025-12-04 15:30
FPL Pre-Deadline GW15 - 24h,15,24,2025-12-05 15:30
FPL Pre-Deadline GW15 - 12h,15,12,2025-12-06 03:30
FPL Pre-Deadline GW15 - 6h,15,6,2025-12-06 09:30
FPL Pre-Deadline GW15 - 1h,15,1,2025-12-06 14:30
FPL Pre-Deadline GW16 - 48h,16,48,2025-12-11 15:30
FPL Pre-Deadline GW16 - 24h,16,24,2025-12-12 15:30
FPL Pre-Deadline GW16 - 12h,16,12,2025-12-13 03:30
FPL Pre-Deadline GW16 - 6h,16,6,2025-12-13 09:30
FPL Pre-Deadline GW16 - 1h,16,1,2025-12-13 14:30
FPL Pre-Deadline GW17 - 48h,17,48,2025-12-18 15:30
