gw,offset_hours,task_name,start_local,status
1,48,FPL Pre-Deadline GW1 - 48h,SKIPPED(past)
1,24,FPL Pre-Deadline GW1 - 24h,SKIPPED(past)
1,12,FPL Pre-Deadline GW1 - 12h,SKIPPED(past)
1,6,FPL Pre-Deadline GW1 - 6h,SKIPPED(past)
1,1,FPL Pre-Deadline GW1 - 1h,SKIPPED(past)
2,48,FPL Pre-Deadline GW2 - 48h,SKIPPED(past)
2,24,FPL Pre-Deadline GW2 - 24h,SKIPPED(past)
2,12,FPL Pre-Deadline GW2 - 12h,2025-08-22 07:30,OK
2,6,FPL Pre-Deadline GW2 - 6h,2025-08-22 13:30,OK
2,1,FPL Pre-Deadline GW2 - 1h,2025-08-22 18:30,OK
3,48,FPL Pre-Deadline GW3 - 48h,2025-08-28 12:00,OK
3,24,FPL Pre-Deadline GW3 - 24h,2025-08-29 12:00,OK
3,12,FPL Pre-Deadline GW3 - 12h,2025-08-30 00:00,OK
3,6,FPL Pre-Deadline GW3 - 6h,2025-08-30 06:00,OK
3,1,FPL Pre-Deadline GW3 - 1h,2025-08-30 11:00,OK
4,48,FPL Pre-Deadline GW4 - 48h,2025-09-11 12:00,OK
4,24,FPL Pre-Deadline GW4 - 24h,2025-09-12 12:00,OK
4,12,FPL Pre-Deadline GW4 - 12h,2025-09-13 00:00,OK
4,6,FPL Pre-Deadline GW4 - 6h,2025-09-13 06:00,OK
4,1,FPL Pre-Deadline GW4 - 1h,2025-09-13 11:00,OK
5,48,FPL Pre-Deadline GW5 - 48h,2025-09-18 12:00,OK
5,24,FPL Pre-Deadline GW5 - 24h,2025-09-19 12:00,OK
5,12,FPL Pre-Deadline GW5 - 12h,2025-09-20 00:00,OK
5,6,FPL Pre-Deadline GW5 - 6h,2025-09-20 06:00,OK
5,1,FPL Pre-Deadline GW5 - 1h,2025-09-20 11:00,OK
6,48,FPL Pre-Deadline GW6 - 48h,2025-09-25 12:00,OK
6,24,FPL Pre-Deadline GW6 - 24h,2025-09-26 12:00,OK
6,12,FPL Pre-Deadline GW6 - 12h,2025-09-27 00:00,OK
6,6,FPL Pre-Deadline GW6 - 6h,2025-09-27 06:00,OK
6,1,FPL Pre-Deadline GW6 - 1h,2025-09-27 11:00,OK
7,48,FPL Pre-Deadline GW7 - 48h,2025-10-01 19:30,OK
7,24,FPL Pre-Deadline GW7 - 24h,2025-10-02 19:30,OK
7,12,FPL Pre-Deadline GW7 - 12h,2025-10-03 07:30,OK
7,6,FPL Pre-Deadline GW7 - 6h,2025-10-03 13:30,OK
7,1,FPL Pre-Deadline GW7 - 1h,2025-10-03 18:30,OK
8,48,FPL Pre-Deadline GW8 - 48h,2025-10-16 12:00,OK
8,24,FPL Pre-Deadline GW8 - 24h,2025-10-17 12:00,OK
8,12,FPL Pre-Deadline GW8 - 12h,2025-10-18 00:00,OK
8,6,FPL Pre-Deadline GW8 - 6h,2025-10-18 06:00,OK
8,1,FPL Pre-Deadline GW8 - 1h,2025-10-18 11:00,OK
9,48,FPL Pre-Deadline GW9 - 48h,2025-10-22 19:30,OK
9,24,FPL Pre-Deadline GW9 - 24h,2025-10-23 19:30,OK
9,12,FPL Pre-Deadline GW9 - 12h,2025-10-24 07:30,OK
9,6,FPL Pre-Deadline GW9 - 6h,2025-10-24 13:30,OK
9,1,FPL Pre-Deadline GW9 - 1h,2025-10-24 18:30,OK
10,48,FPL Pre-Deadline GW10 - 48h,2025-10-30 14:30,OK
10,24,FPL Pre-Deadline GW10 - 24h,2025-10-31 14:30,OK
10,12,FPL Pre-Deadline GW10 - 12h,2025-11-01 02:30,OK
10,6,FPL Pre-Deadline GW10 - 6h,2025-11-01 08:30,OK
10,1,FPL Pre-Deadline GW10 - 1h,2025-11-01 13:30,OK
11,48,FPL Pre-Deadline GW11 - 48h,2025-11-06 14:30,OK
11,24,FPL Pre-Deadline GW11 - 24h,2025-11-07 14:30,OK
11,12,FPL Pre-Deadline GW11 - 12h,2025-11-08 02:30,OK
11,6,FPL Pre-Deadline GW11 - 6h,2025-11-08 08:30,OK
11,1,FPL Pre-Deadline GW11 - 1h,2025-11-08 13:30,OK
12,48,FPL Pre-Deadline GW12 - 48h,2025-11-20 14:30,OK
12,24,FPL Pre-Deadline GW12 - 24h,2025-11-21 14:30,OK
12,12,FPL Pre-Deadline GW12 - 12h,2025-11-22 02:30,OK
12,6,FPL Pre-Deadline GW12 - 6h,2025-11-22 08:30,OK
12,1,FPL Pre-Deadline GW12 - 1h,2025-11-22 13:30,OK
13,48,FPL Pre-Deadline GW13 - 48h,2025-11-27 14:30,OK
13,24,FPL Pre-Deadline GW13 - 24h,2025-11-28 14:30,OK
13,12,FPL Pre-Deadline GW13 - 12h,2025-11-29 02:30,OK
13,6,FPL Pre-Deadline GW13 - 6h,2025-11-29 08:30,OK
13,1,FPL Pre-Deadline GW13 - 1h,2025-11-29 13:30,OK
14,48,FPL Pre-Deadline GW14 - 48h,2025-12-01 19:30,OK
14,24,FPL Pre-Deadline GW14 - 24h,2025-12-02 19:30,OK
14,12,FPL Pre-Deadline GW14 - 12h,2025-12-03 07:30,OK
14,6,FPL Pre-Deadline GW14 - 6h,2025-12-03 13:30,OK
14,1,FPL Pre-Deadline GW14 - 1h,2025-12-03 18:30,OK
15,48,FPL Pre-Deadline GW15 - 48h,2025-12-04 14:30,OK
15,24,FPL Pre-Deadline GW15 - 24h,2025-12-05 14:30,OK
15,12,FPL Pre-Deadline GW15 - 12h,2025-12-06 02:30,OK
15,6,FPL Pre-Deadline GW15 - 6h,2025-12-06 08:30,OK
15,1,FPL Pre-Deadline GW15 - 1h,2025-12-06 13:30,OK
16,48,FPL Pre-Deadline GW16 - 48h,2025-12-11 14:30,OK
16,24,FPL Pre-Deadline GW16 - 24h,2025-12-12 14:30,OK
16,12,FPL Pre-Deadline GW16 - 12h,2025-12-13 02:30,OK
16,6,FPL Pre-Deadline GW16 - 6h,2025-12-13 08:30,OK
16,1,FPL Pre-Deadline GW16 - 1h,2025-12-13 13:30,OK
17,48,FPL Pre-Deadline GW17 - 48h,2025-12-18 14:30,OK
17,24,FPL Pre-Deadline GW17 - 24h,2025-12-19 14:30,OK
