element,web_name,team_name,position,gw,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,in_dreamteam,team,element_type
1,Raya,Arsenal,GK,15,90,2,0,0,0,2,0,0,0,0,0,4,0,13,35.2,0.0,0.0,3.5,0,7,0,0,1,0.00,0.00,0.00,2.16,False,1,1
2,Arrizabalaga,Arsenal,GK,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,1
3,Hein,Arsenal,GK,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,1
4,Setford,Arsenal,GK,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,1
5,Gabriel,Arsenal,DEF,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
6,Saliba,Arsenal,DEF,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
7,Calafiori,Arsenal,DEF,15,85,1,0,0,0,1,0,0,0,1,0,0,0,2,6.6,3.1,6.0,1.6,3,2,3,6,1,0.00,0.01,0.01,1.36,False,1,2
8,J.Timber,Arsenal,DEF,15,90,3,0,0,0,2,0,0,0,0,0,0,0,7,24.0,1.8,4.0,3.0,7,4,3,10,1,0.23,0.01,0.24,2.16,False,1,2
9,Kiwior,Arsenal,DEF,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
10,Lewis-Skelly,Arsenal,DEF,15,4,1,0,0,0,1,0,0,0,0,0,0,0,-1,1.0,0.0,0.0,0.1,0,0,0,0,0,0.00,0.00,0.00,0.80,False,1,2
11,White,Arsenal,DEF,15,90,1,0,0,0,2,0,0,0,0,0,0,0,18,24.0,17.6,23.0,6.5,2,5,3,5,1,0.32,0.26,0.58,2.16,False,1,2
12,Zinchenko,Nott'm Forest,DEF,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,16,2
13,Clarke,Arsenal,DEF,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
14,Kacurri,Arsenal,DEF,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
15,Nichols,Arsenal,DEF,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
16,Saka,Arsenal,MID,15,78,4,0,1,0,1,0,0,0,1,0,0,0,18,12.6,46.3,36.0,9.5,0,5,2,7,1,0.58,0.31,0.89,1.32,False,1,3
17,Ødegaard,Arsenal,MID,15,90,2,0,0,0,2,0,0,0,0,0,0,0,21,25.8,36.2,27.0,8.9,1,7,2,10,1,0.14,0.15,0.29,2.16,False,1,3
18,Madueke,Arsenal,MID,15,11,1,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.3,4.0,0.4,0,0,0,0,0,0.05,0.00,0.05,0.84,False,1,3
