element,web_name,name,first_name,second_name,position,team,team_name,team_short,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,price_m,selected_by_percent,status,chance_of_playing_next_round,apps,assists_per90,goals_scored_per90,last_updated_utc,points_per90,saves_per90,xa,xg,xgc,xgi
1,Raya,David Raya Martín,David,Raya Martín,GK,,Arsenal,,90,10,0,0,1,0,0,0,0,1,0,7,3,38,49.2,0.0,0.0,4.9,0.0,0.0,0.0,1.52,5.5,20.4,a,,1,0.0,0.0,2025-08-22T01:26:46Z,10.0,7.0,0.0,0.0,1.52,0.0
2,Arrizabalaga,Kepa Arrizabalaga Revuelta,Kepa,Arrizabalaga Revuelta,GK,,Arsenal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.9,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
3,Hein,Karl Hein,Karl,Hein,GK,,Arsenal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.6,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
4,Setford,Tommy Setford,Tommy,Setford,GK,,Arsenal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.2,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
5,Gabriel,Gabriel dos Santos Magalhães,Gabriel,dos Santos Magalhães,DEF,,Arsenal,,90,6,0,0,1,0,0,0,0,0,0,0,0,23,22.8,0.3,4.0,2.7,0.0,0.0,0.0,1.52,6.0,20.3,a,,1,0.0,0.0,2025-08-22T01:26:46Z,6.0,0.0,0.0,0.0,1.52,0.0
6,Saliba,William Saliba,William,Saliba,DEF,,Arsenal,,90,9,0,0,1,0,0,0,0,0,0,0,1,25,31.4,0.1,0.0,3.2,0.0,0.0,0.0,1.52,6.0,17.0,a,,1,0.0,0.0,2025-08-22T01:26:46Z,9.0,0.0,0.0,0.0,1.52,0.0
7,Calafiori,Riccardo Calafiori,Riccardo,Calafiori,DEF,,Arsenal,,71,13,1,0,1,0,0,0,0,1,0,0,2,33,36.2,2.1,35.0,7.3,0.91,0.01,0.92,0.87,5.5,3.6,a,,1,0.0,1.268,2025-08-22T01:26:46Z,16.48,0.0,0.01,0.91,0.87,0.92
8,J.Timber,Jurriën Timber,Jurriën,Timber,DEF,,Arsenal,,19,0,0,0,0,0,0,0,0,1,0,0,0,-3,3.0,0.3,0.0,0.3,0.0,0.0,0.0,0.66,5.5,2.1,a,,1,0.0,0.0,2025-08-22T01:26:46Z,0.0,0.0,0.0,0.0,0.66,0.0
9,Kiwior,Jakub Kiwior,Jakub,Kiwior,DEF,,Arsenal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.1,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
10,Lewis-Skelly,Myles Lewis-Skelly,Myles,Lewis-Skelly,DEF,,Arsenal,,18,0,0,0,0,0,0,0,0,1,0,0,0,-1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.66,5.5,3.9,a,,1,0.0,0.0,2025-08-22T01:26:46Z,0.0,0.0,0.0,0.0,0.66,0.0
11,White,Benjamin White,Benjamin,White,DEF,,Arsenal,,70,6,0,0,1,0,0,0,0,0,0,0,0,23,15.4,11.3,1.0,2.8,0.01,0.01,0.02,0.87,5.5,1.0,a,,1,0.0,0.0,2025-08-22T01:26:46Z,7.71,0.0,0.01,0.01,0.87,0.02
12,Zinchenko,Oleksandr Zinchenko,Oleksandr,Zinchenko,DEF,,Arsenal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.4,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
13,Clarke,Brayden Clarke,Brayden,Clarke,DEF,,Arsenal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.6,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
