fixture,kickoff_time,minutes,event,finished,finished_provisional,started,team_a,team_a_difficulty,team_h,team_h_difficulty
1,2025-08-15T19:00:00Z,90,1,True,True,True,4,5,12,3
2,2025-08-16T11:30:00Z,90,1,True,True,True,15,4,2,3
3,2025-08-16T14:00:00Z,90,1,True,True,True,10,3,6,3
6,2025-08-16T14:00:00Z,90,1,True,True,True,3,3,18,2
5,2025-08-16T14:00:00Z,90,1,True,True,True,19,2,17,2
7,2025-08-16T16:30:00Z,90,1,True,True,True,13,3,20,4
8,2025-08-17T13:00:00Z,90,1,True,True,True,8,4,7,3
4,2025-08-17T13:00:00Z,90,1,True,True,True,5,3,16,3
9,2025-08-17T15:30:00Z,90,1,True,True,True,1,3,14,4
10,2025-08-18T19:00:00Z,90,1,True,True,True,9,2,11,2
20,2025-08-22T19:00:00Z,0,2,False,False,False,7,2,19,3
18,2025-08-23T11:30:00Z,0,2,False,False,False,18,4,13,3
12,2025-08-23T14:00:00Z,0,2,False,False,False,20,3,4,2
13,2025-08-23T14:00:00Z,0,2,False,False,False,2,3,5,3
14,2025-08-23T14:00:00Z,0,2,False,False,False,17,2,3,2
11,2025-08-23T16:30:00Z,0,2,False,False,False,11,4,1,2
15,2025-08-24T13:00:00Z,0,2,False,False,False,16,3,8,3
16,2025-08-24T13:00:00Z,0,2,False,False,False,6,3,9,3
17,2025-08-24T15:30:00Z,0,2,False,False,False,14,3,10,3
19,2025-08-25T19:00:00Z,0,2,False,False,False,12,4,15,4
23,2025-08-30T11:30:00Z,0,3,False,False,False,10,4,7,3
26,2025-08-30T14:00:00Z,0,3,False,False,False,3,3,14,2
29,2025-08-30T14:00:00Z,0,3,False,False,False,4,3,18,3
28,2025-08-30T14:00:00Z,0,3,False,False,False,5,2,17,3
30,2025-08-30T14:00:00Z,0,3,False,False,False,9,3,20,2
24,2025-08-30T16:30:00Z,0,3,False,False,False,15,2,11,3
22,2025-08-31T13:00:00Z,0,3,False,False,False,13,3,6,4
27,2025-08-31T13:00:00Z,0,3,False,False,False,19,3,16,2
25,2025-08-31T15:30:00Z,0,3,False,False,False,1,5,12,4
21,2025-08-31T18:00:00Z,0,3,False,False,False,8,4,2,3
31,2025-09-13T11:30:00Z,0,4,False,False,False,16,4,1,3
32,2025-09-13T14:00:00Z,0,4,False,False,False,6,3,4,3
35,2025-09-13T14:00:00Z,0,4,False,False,False,17,3,8,2
36,2025-09-13T14:00:00Z,0,4,False,False,False,2,3,9,3
37,2025-09-13T14:00:00Z,0,4,False,False,False,11,3,10,2
39,2025-09-13T14:00:00Z,0,4,False,False,False,20,4,15,2
40,2025-09-13T16:30:00Z,0,4,False,False,False,18,2,19,3
33,2025-09-13T19:00:00Z,0,4,False,False,False,7,3,5,3
34,2025-09-14T13:00:00Z,0,4,False,False,False,12,2,3,4
38,2025-09-14T15:30:00Z,0,4,False,False,False,14,4,13,3
46,2025-09-20T11:30:00Z,0,5,False,False,False,9,5,12,2
42,2025-09-20T14:00:00Z,0,5,False,False,False,15,3,4,3
43,2025-09-20T14:00:00Z,0,5,False,False,False,18,3,6,3
44,2025-09-20T14:00:00Z,0,5,False,False,False,16,2,3,3
49,2025-09-20T14:00:00Z,0,5,False,False,False,8,2,19,3
50,2025-09-20T14:00:00Z,0,5,False,False,False,11,3,20,2
47,2025-09-20T16:30:00Z,0,5,False,False,False,7,3,14,3
45,2025-09-20T19:00:00Z,0,5,False,False,False,5,3,10,3
48,2025-09-21T13:00:00Z,0,5,False,False,False,2,2,17,3
41,2025-09-21T15:30:00Z,0,5,False,False,False,13,4,1,4
52,2025-09-27T11:30:00Z,0,6,False,False,False,14,3,5,3
51,2025-09-27T14:00:00Z,0,6,False,False,False,10,4,2,3
53,2025-09-27T14:00:00Z,0,6,False,False,False,6,4,7,3
54,2025-09-27T14:00:00Z,0,6,False,False,False,12,3,8,4
56,2025-09-27T14:00:00Z,0,6,False,False,False,4,2,11,3
57,2025-09-27T14:00:00Z,0,6,False,False,False,3,4,13,2
59,2025-09-27T16:30:00Z,0,6,False,False,False,17,3,16,2
60,2025-09-28T13:00:00Z,0,6,False,False,False,20,3,18,2
58,2025-09-28T15:30:00Z,0,6,False,False,False,1,4,15,4
55,2025-09-29T19:00:00Z,0,6,False,False,False,19,3,9,2
63,2025-10-03T19:00:00Z,0,7,False,False,False,10,3,4,3
