id,event,kickoff_time,team_h,team_a,team_h_difficulty,team_a_difficulty,finished,finished_provisional,started,minutes
1,1,2025-08-15T19:00:00Z,12,4,3,5,True,True,True,90
2,1,2025-08-16T11:30:00Z,2,15,3,4,True,True,True,90
3,1,2025-08-16T14:00:00Z,6,10,3,3,True,True,True,90
6,1,2025-08-16T14:00:00Z,18,3,2,3,True,True,True,90
5,1,2025-08-16T14:00:00Z,17,19,2,2,True,True,True,90
7,1,2025-08-16T16:30:00Z,20,13,4,3,True,True,True,90
8,1,2025-08-17T13:00:00Z,7,8,3,4,True,True,True,90
4,1,2025-08-17T13:00:00Z,16,5,3,3,True,True,True,90
9,1,2025-08-17T15:30:00Z,14,1,4,3,True,True,True,90
10,1,2025-08-18T19:00:00Z,11,9,2,2,True,True,True,90
20,2,2025-08-22T19:00:00Z,19,7,3,2,False,False,False,0
18,2,2025-08-23T11:30:00Z,13,18,3,4,False,False,False,0
12,2,2025-08-23T14:00:00Z,4,20,2,3,False,False,False,0
13,2,2025-08-23T14:00:00Z,5,2,3,3,False,False,False,0
14,2,2025-08-23T14:00:00Z,3,17,2,2,False,False,False,0
11,2,2025-08-23T16:30:00Z,1,11,2,4,False,False,False,0
15,2,2025-08-24T13:00:00Z,8,16,3,3,False,False,False,0
16,2,2025-08-24T13:00:00Z,9,6,3,3,False,False,False,0
17,2,2025-08-24T15:30:00Z,10,14,3,3,False,False,False,0
19,2,2025-08-25T19:00:00Z,15,12,4,4,False,False,False,0
23,3,2025-08-30T11:30:00Z,7,10,3,4,False,False,False,0
26,3,2025-08-30T14:00:00Z,14,3,2,3,False,False,False,0
29,3,2025-08-30T14:00:00Z,18,4,3,3,False,False,False,0
28,3,2025-08-30T14:00:00Z,17,5,3,2,False,False,False,0
30,3,2025-08-30T14:00:00Z,20,9,2,3,False,False,False,0
24,3,2025-08-30T16:30:00Z,11,15,3,2,False,False,False,0
22,3,2025-08-31T13:00:00Z,6,13,4,3,False,False,False,0
27,3,2025-08-31T13:00:00Z,16,19,2,3,False,False,False,0
25,3,2025-08-31T15:30:00Z,12,1,4,5,False,False,False,0
21,3,2025-08-31T18:00:00Z,2,8,3,4,False,False,False,0
31,4,2025-09-13T11:30:00Z,1,16,3,4,False,False,False,0
32,4,2025-09-13T14:00:00Z,4,6,3,3,False,False,False,0
35,4,2025-09-13T14:00:00Z,8,17,2,3,False,False,False,0
36,4,2025-09-13T14:00:00Z,9,2,3,3,False,False,False,0
37,4,2025-09-13T14:00:00Z,10,11,2,3,False,False,False,0
39,4,2025-09-13T14:00:00Z,15,20,2,4,False,False,False,0
40,4,2025-09-13T16:30:00Z,19,18,3,2,False,False,False,0
33,4,2025-09-13T19:00:00Z,5,7,3,3,False,False,False,0
34,4,2025-09-14T13:00:00Z,3,12,4,2,False,False,False,0
38,4,2025-09-14T15:30:00Z,13,14,3,4,False,False,False,0
46,5,2025-09-20T11:30:00Z,12,9,2,5,False,False,False,0
42,5,2025-09-20T14:00:00Z,4,15,3,3,False,False,False,0
43,5,2025-09-20T14:00:00Z,6,18,3,3,False,False,False,0
44,5,2025-09-20T14:00:00Z,3,16,3,2,False,False,False,0
49,5,2025-09-20T14:00:00Z,19,8,3,2,False,False,False,0
50,5,2025-09-20T14:00:00Z,20,11,2,3,False,False,False,0
47,5,2025-09-20T16:30:00Z,14,7,3,3,False,False,False,0
45,5,2025-09-20T19:00:00Z,10,5,3,3,False,False,False,0
48,5,2025-09-21T13:00:00Z,17,2,3,2,False,False,False,0
41,5,2025-09-21T15:30:00Z,1,13,4,4,False,False,False,0
52,6,2025-09-27T11:30:00Z,5,14,3,3,False,False,False,0
51,6,2025-09-27T14:00:00Z,2,10,3,4,False,False,False,0
53,6,2025-09-27T14:00:00Z,7,6,3,4,False,False,False,0
54,6,2025-09-27T14:00:00Z,8,12,4,3,False,False,False,0
56,6,2025-09-27T14:00:00Z,11,4,3,2,False,False,False,0
57,6,2025-09-27T14:00:00Z,13,3,2,4,False,False,False,0
59,6,2025-09-27T16:30:00Z,16,17,2,3,False,False,False,0
60,6,2025-09-28T13:00:00Z,18,20,2,3,False,False,False,0
58,6,2025-09-28T15:30:00Z,15,1,4,4,False,False,False,0
55,6,2025-09-29T19:00:00Z,9,19,2,3,False,False,False,0
63,7,2025-10-03T19:00:00Z,4,10,3,3,False,False,False,0
67,7,2025-10-04T11:30:00Z,11,18,3,2,False,False,False,0
61,7,2025-10-04T14:00:00Z,1,19,2,4,False,False,False,0
66,7,2025-10-04T14:00:00Z,9,8,3,3,False,False,False,0
68,7,2025-10-04T14:00:00Z,14,17,2,3,False,False,False,0
65,7,2025-10-04T16:30:00Z,7,12,4,4,False,False,False,0
62,7,2025-10-05T13:00:00Z,2,3,2,4,False,False,False,0
69,7,2025-10-05T13:00:00Z,15,16,3,4,False,False,False,0
70,7,2025-10-05T13:00:00Z,20,6,3,3,False,False,False,0
64,7,2025-10-05T15:30:00Z,5,13,4,3,False,False,False,0
77,8,2025-10-18T11:30:00Z,16,7,3,3,False,False,False,0
71,8,2025-10-18T14:00:00Z,6,15,3,3,False,False,False,0
72,8,2025-10-18T14:00:00Z,3,11,2,2,False,False,False,0
73,8,2025-10-18T14:00:00Z,8,4,3,3,False,False,False,0
76,8,2025-10-18T14:00:00Z,13,9,2,4,False,False,False,0
78,8,2025-10-18T14:00:00Z,17,20,2,2,False,False,False,0
74,8,2025-10-18T16:30:00Z,10,1,4,3,False,False,False,0
79,8,2025-10-19T13:00:00Z,18,2,3,3,False,False,False,0
