element,web_name,team_name,position,gw,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,in_dreamteam,team,element_type
1,Raya,Arsenal,GK,4,90,6,0,0,1,0,0,0,0,0,0,1,0,24,12.8,0.0,0.0,1.3,0,9,0,0,1,0.00,0.00,0.00,0.20,False,1,1
2,Arrizabalaga,Arsenal,GK,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,1
3,Hein,Arsenal,GK,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,1
4,Setford,Arsenal,GK,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,1
5,Gabriel,Arsenal,DEF,4,90,9,0,0,1,0,0,0,0,0,0,0,1,32,28.0,1.3,9.0,3.8,8,3,2,10,1,0.20,0.01,0.21,0.20,False,1,2
6,Saliba,Arsenal,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
7,Calafiori,Arsenal,DEF,4,67,5,0,0,1,0,0,0,0,1,0,0,0,16,5.4,12.6,2.0,2.0,1,1,2,3,1,0.00,0.01,0.01,0.10,False,1,2
8,J.Timber,Arsenal,DEF,4,90,8,0,0,1,0,0,0,0,0,0,0,2,37,19.8,13.0,35.0,6.8,4,2,2,6,1,0.30,0.02,0.32,0.20,False,1,2
9,Kiwior,Arsenal,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
10,Lewis-Skelly,Arsenal,DEF,4,22,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,2.0,0.0,0.1,0,2,0,0,0,0.00,0.00,0.00,0.10,False,1,2
11,White,Arsenal,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
12,Zinchenko,Nott'm Forest,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,16,2
13,Clarke,Arsenal,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
14,Kacurri,Arsenal,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
15,Nichols,Arsenal,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
16,Saka,Arsenal,MID,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
17,Ødegaard,Arsenal,MID,4,17,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,5.2,0.0,0.5,0,0,0,0,1,0.00,0.00,0.00,0.00,False,1,3
18,Madueke,Arsenal,MID,4,78,3,0,0,1,0,0,0,0,0,0,0,0,24,22.6,70.8,26.0,11.9,1,3,3,7,1,0.00,0.71,0.71,0.10,False,1,3
19,Martinelli,Arsenal,MID,4,12,1,0,0,0,0,0,0,0,0,0,0,0,4,2.0,4.3,0.0,0.6,0,1,0,1,0,0.00,0.00,0.00,0.10,False,1,3
20,Trossard,Arsenal,MID,4,11,4,0,1,0,0,0,0,0,0,0,0,0,12,17.2,10.5,4.0,3.2,0,0,0,0,0,0.00,0.26,0.26,0.10,False,1,3
21,Rice,Arsenal,MID,4,22,1,0,0,0,0,0,0,0,0,0,0,0,1,3.4,1.3,2.0,0.7,0,2,1,3,0,0.00,0.03,0.03,0.10,False,1,3
22,Merino,Arsenal,MID,4,90,3,0,0,1,0,0,0,0,0,0,0,0,15,13.2,20.3,33.0,6.7,2,8,0,10,1,0.13,0.07,0.20,0.20,False,1,3
23,Fábio Vieira,Arsenal,MID,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
24,Nørgaard,Arsenal,MID,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
25,Nwaneri,Arsenal,MID,4,72,3,0,0,1,0,0,0,0,0,0,0,0,8,2.4,18.7,15.0,3.6,1,3,0,4,0,0.15,0.03,0.18,0.20,False,1,3
26,Zubimendi,Arsenal,MID,4,90,16,2,0,1,0,0,0,0,0,0,0,3,52,68.6,14.5,25.0,10.8,1,1,0,2,1,0.16,0.03,0.19,0.20,True,1,3
27,Nelson,Brentford,MID,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,5,3
28,Kabia,Arsenal,MID,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
29,Sambi,Arsenal,MID,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
30,Havertz,Arsenal,FWD,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,4
31,G.Jesus,Arsenal,FWD,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,4
32,Martinez,Aston Villa,GK,4,90,6,0,0,1,0,0,0,0,0,0,2,0,27,20.2,0.0,0.0,2.0,2,3,0,0,1,0.00,0.00,0.00,2.08,False,2,1
33,M.Bizot,Aston Villa,GK,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,1
34,Gauci,Aston Villa,GK,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,1
35,Marschall,Aston Villa,GK,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,1
36,Cash,Aston Villa,DEF,4,90,5,0,0,1,0,0,0,0,1,0,0,0,13,13.2,16.6,2.0,3.2,1,0,3,4,1,0.00,0.14,0.14,2.08,False,2,2
37,Digne,Aston Villa,DEF,4,90,5,0,0,1,0,0,0,0,1,0,0,0,18,7.4,6.8,9.0,2.3,3,6,1,4,1,0.08,0.01,0.09,2.08,False,2,2
38,Konsa,Aston Villa,DEF,4,90,6,0,0,1,0,0,0,0,0,0,0,0,28,15.4,1.0,0.0,1.6,3,2,1,4,1,0.00,0.01,0.01,2.08,False,2,2
39,Maatsen,Aston Villa,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,2
40,Mings,Aston Villa,DEF,4,90,9,0,0,1,0,0,0,0,0,0,0,1,30,36.0,1.3,8.0,4.5,12,3,1,13,1,0.22,0.01,0.23,2.08,False,2,2
41,Pau,Aston Villa,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,2
42,A.García,Aston Villa,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,2
43,Alex Moreno,Aston Villa,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,2
44,Bogarde,Aston Villa,DEF,4,82,9,0,0,1,0,0,0,0,0,0,0,3,35,13.0,2.0,0.0,1.5,4,3,3,7,1,0.00,0.02,0.02,1.60,False,2,2
45,Sousa,Aston Villa,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,2
46,Yasin,Aston Villa,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,2
47,Rogers,Aston Villa,MID,4,90,3,0,0,1,0,0,0,0,0,0,0,0,4,6.4,4.0,7.0,1.7,2,4,0,6,1,0.08,0.02,0.10,2.08,False,2,3
