element,web_name,name,position,team,team_name,team_short,gw,event,fixture,kickoff_time,opponent_team,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,clearances_blocks_interceptions,defensive_contribution,element_type,in_dreamteam,recoveries,starts,tackles
1,Raya,David Raya Martín,GK,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,90,10,0,0,1,0,0,0,0,1,0,7,3,38,49.2,0.0,0.0,4.9,0.0,0.0,0.0,1.52,1,0,1,True,13,1,0
2,Arrizabalaga,Kepa Arrizabalaga Revuelta,GK,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,False,0,0,0
3,Hein,Karl Hein,GK,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,False,0,0,0
4,Setford,Tommy Setford,GK,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,False,0,0,0
5,Gabriel,Gabriel dos Santos Magalhães,DEF,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,90,6,0,0,1,0,0,0,0,0,0,0,0,23,22.8,0.3,4.0,2.7,0.0,0.0,0.0,1.52,6,7,2,False,1,1,1
6,Saliba,William Saliba,DEF,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,90,9,0,0,1,0,0,0,0,0,0,0,1,25,31.4,0.1,0.0,3.2,0.0,0.0,0.0,1.52,10,14,2,False,3,1,4
7,Calafiori,Riccardo Calafiori,DEF,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,71,13,1,0,1,0,0,0,0,1,0,0,2,33,36.2,2.1,35.0,7.3,0.91,0.01,0.92,0.87,3,4,2,True,5,1,1
8,J.Timber,Jurriën Timber,DEF,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,19,0,0,0,0,0,0,0,0,1,0,0,0,-3,3.0,0.3,0.0,0.3,0.0,0.0,0.0,0.66,1,3,2,False,1,0,2
9,Kiwior,Jakub Kiwior,DEF,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
10,Lewis-Skelly,Myles Lewis-Skelly,DEF,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,18,0,0,0,0,0,0,0,0,1,0,0,0,-1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.66,1,1,2,False,0,0,0
11,White,Benjamin White,DEF,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,70,6,0,0,1,0,0,0,0,0,0,0,0,23,15.4,11.3,1.0,2.8,0.01,0.01,0.02,0.87,6,8,2,False,4,1,2
12,Zinchenko,Oleksandr Zinchenko,DEF,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
13,Clarke,Brayden Clarke,DEF,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
14,Kacurri,Maldini Kacurri,DEF,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
15,Nichols,Josh Nichols,DEF,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
16,Saka,Bukayo Saka,MID,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,90,3,0,0,1,0,0,0,0,0,0,0,0,7,12.0,16.4,7.0,3.5,0.15,0.09,0.24,1.52,0,5,3,False,2,1,3
17,Ødegaard,Martin Ødegaard,MID,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,90,5,0,0,1,0,0,0,0,0,0,0,0,16,17.8,20.3,17.0,5.5,0.09,0.29,0.38,1.52,6,14,3,False,7,1,1
18,Madueke,Noni Madueke,MID,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,30,1,0,0,0,0,0,0,0,0,0,0,0,2,1.6,10.7,2.0,1.4,0.0,0.02,0.02,0.82,0,0,3,False,0,0,0
19,Martinelli,Gabriel Martinelli Silva,MID,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,59,1,0,0,0,0,0,0,0,0,0,0,0,8,6.2,10.3,21.0,3.8,0.02,0.01,0.03,0.7,0,4,3,False,3,1,1
20,Trossard,Leandro Trossard,MID,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
21,Rice,Declan Rice,MID,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,82,6,0,1,1,0,0,0,0,0,0,0,0,14,2.6,1.3,8.0,1.2,0.13,0.01,0.14,1.04,1,4,3,False,3,1,0
22,Merino,Mikel Merino Zazón,MID,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,7,1,0,0,0,0,0,0,0,0,0,0,0,2,1.2,0.0,0.0,0.1,0.0,0.0,0.0,0.49,1,1,3,False,0,0,0
23,Fábio Vieira,Fábio Ferreira Vieira,MID,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
24,Nørgaard,Christian Nørgaard,MID,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
25,Nwaneri,Ethan Nwaneri,MID,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
26,Zubimendi,Martín Zubimendi Ibáñez,MID,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,90,5,0,0,1,0,0,0,0,0,0,0,0,15,16.0,1.9,2.0,2.0,0.0,0.01,0.01,1.52,4,12,3,False,5,1,3
27,Nelson,Reiss Nelson,MID,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
28,Kabia,Ismeal Kabia,MID,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
