id,web_name,first_name,second_name,team,element_type,team_name
1,Raya,David,Raya Martín,1,1,Arsenal
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,1,Arsenal
3,Hein,Karl,Hein,1,1,Arsenal
4,Setford,Tommy,Setford,1,1,Arsenal
5,Gabriel,Gabriel,dos Santos Magalhães,1,2,Arsenal
6,Saliba,William,Saliba,1,2,Arsenal
7,Calafiori,Riccardo,Calafiori,1,2,Arsenal
8,J.Timber,Jurriën,Timber,1,2,Arsenal
9,Kiwior,Jakub,Kiwior,1,2,Arsenal
10,Lewis-Skelly,Myles,Lewis-Skelly,1,2,Arsenal
11,White,Benjamin,White,1,2,Arsenal
12,Zinchenko,Oleksandr,Zinchenko,1,2,Arsenal
13,Clarke,Brayden,Clarke,1,2,Arsenal
14,Kacurri,Maldini,Kacurri,1,2,Arsenal
15,Nichols,Josh,Nichols,1,2,Arsenal
16,Saka,Bukayo,Saka,1,3,Arsenal
17,Ødegaard,Martin,Ødegaard,1,3,Arsenal
18,Madueke,Noni,Madueke,1,3,Arsenal
19,Martinelli,Gabriel,Martinelli Silva,1,3,Arsenal
20,Trossard,Leandro,Trossard,1,3,Arsenal
21,Rice,Declan,Rice,1,3,Arsenal
22,Merino,Mikel,Merino Zazón,1,3,Arsenal
23,Fábio Vieira,Fábio,Ferreira Vieira,1,3,Arsenal
24,Nørgaard,Christian,Nørgaard,1,3,Arsenal
25,Nwaneri,Ethan,Nwaneri,1,3,Arsenal
26,Zubimendi,Martín,Zubimendi Ibáñez,1,3,Arsenal
27,Nelson,Reiss,Nelson,1,3,Arsenal
28,Kabia,Ismeal,Kabia,1,3,Arsenal
29,Sambi,Albert,Sambi Lokonga,1,3,Arsenal
30,Havertz,Kai,Havertz,1,4,Arsenal
31,G.Jesus,Gabriel,Fernando de Jesus,1,4,Arsenal
662,Mosquera,Cristhian,Mosquera,1,2,Arsenal
666,Gyökeres,Viktor,Gyökeres,1,4,Arsenal
32,Martinez,Emiliano,Martínez Romero,2,1,Aston Villa
33,M.Bizot,Marco,Bizot,2,1,Aston Villa
34,Gauci,Joe,Gauci,2,1,Aston Villa
35,Marschall,Filip,Marschall,2,1,Aston Villa
36,Cash,Matty,Cash,2,2,Aston Villa
37,Digne,Lucas,Digne,2,2,Aston Villa
38,Konsa,Ezri,Konsa Ngoyo,2,2,Aston Villa
39,Maatsen,Ian,Maatsen,2,2,Aston Villa
40,Mings,Tyrone,Mings,2,2,Aston Villa
41,Pau,Pau,Torres,2,2,Aston Villa
42,A.García,Andrés,García,2,2,Aston Villa
43,Alex Moreno,Álex,Moreno Lopera,2,2,Aston Villa
44,Bogarde,Lamare,Bogarde,2,2,Aston Villa
45,Sousa,Lino,da Cruz Sousa,2,2,Aston Villa
46,Yasin,Yasin,Özcan,2,2,Aston Villa
47,Rogers,Morgan,Rogers,2,3,Aston Villa
48,Tielemans,Youri,Tielemans,2,3,Aston Villa
49,Bailey,Leon,Bailey,2,3,Aston Villa
50,Buendía,Emiliano,Buendía Stati,2,3,Aston Villa
51,Iling Jr,Samuel,Iling-Junior,2,3,Aston Villa
53,Malen,Donyell,Malen,2,3,Aston Villa
54,McGinn,John,McGinn,2,3,Aston Villa
55,Barkley,Ross,Barkley,2,3,Aston Villa
56,Barrenechea,Enzo,Barrenechea,2,3,Aston Villa
57,Dobbin,Lewis,Dobbin,2,3,Aston Villa
58,Kamara,Boubacar,Kamara,2,3,Aston Villa
59,Onana,Amadou,Onana,2,3,Aston Villa
60,Broggio,Ben,Broggio,2,3,Aston Villa
61,Dendoncker,Leander,Dendoncker,2,3,Aston Villa
62,Jimoh-Aloba,Jamaldeen,Jimoh-Aloba,2,3,Aston Villa
63,Young,Kadan,Young,2,3,Aston Villa
64,Watkins,Ollie,Watkins,2,4,Aston Villa
65,Redmond,Zépiqueno,Redmond,2,4,Aston Villa
677,Guessand,Evann,Guessand,2,3,Aston Villa
688,Wright,James,Wright,2,1,Aston Villa
183,Weiss,Max,Weiß,3,1,Burnley
184,Green,Etienne,Green,3,1,Burnley
185,Hladký,Václav,Hladký,3,1,Burnley
186,Roberts,Connor,Roberts,3,2,Burnley
187,Walker,Kyle,Walker,3,2,Burnley
188,Delcroix,Hannes,Delcroix,3,2,Burnley
189,Dodgson,Owen,Dodgson,3,2,Burnley
190,Ekdal,Hjalmar,Ekdal,3,2,Burnley
191,Estève,Maxime,Estève,3,2,Burnley
192,Hartman,Quilindschy,Hartman,3,2,Burnley
193,Humphreys,Bashir,Humphreys,3,2,Burnley
194,Jordan,Jordan,Beyer,3,2,Burnley
195,Lucas Pires,Lucas,Pires Silva,3,2,Burnley
196,Sambo,Shurandy,Sambo,3,2,Burnley
197,Sonne,Oliver,Sonne,3,2,Burnley
198,Tuanzebe,Axel,Tuanzebe,3,2,Burnley
199,Worrall,Joe,Worrall,3,2,Burnley
200,Anthony,Jaidon,Anthony,3,3,Burnley
201,Benson,Manuel,Benson Hedilazio,3,3,Burnley
202,Bruun Larsen,Jacob,Bruun Larsen,3,3,Burnley
203,Boateng,Enock,Agyei,3,3,Burnley
204,Churlinov,Darko,Churlinov,3,3,Burnley
205,Cullen,Josh,Cullen,3,3,Burnley
206,Edwards,Marcus,Edwards,3,3,Burnley
207,Hannibal,Hannibal,Mejbri,3,3,Burnley
208,Koleosho,Luca,Koleosho,3,3,Burnley
209,Laurent,Josh,Laurent,3,3,Burnley
210,Tchaouna,Loum,Tchaouna,3,3,Burnley
211,A.Ramsey,Aaron,Ramsey,3,3,Burnley
212,Adewumi,Oluwaseun,Adewumi,3,3,Burnley
213,Banel,Jaydon,Banel,3,3,Burnley
214,Trésor,Mike,Trésor Ndayishimiye,3,3,Burnley
215,Flemming,Zian,Flemming,3,4,Burnley
216,Amdouni,Zeki,Amdouni,3,4,Burnley
217,Foster,Lyle,Foster,3,4,Burnley
218,Barnes,Ashley,Barnes,3,4,Burnley
219,Obafemi,Michael,Obafemi,3,4,Burnley
470,Dúbravka,Martin,Dúbravka,3,1,Burnley
676,Ugochukwu,Lesley,Ugochukwu,3,3,Burnley
680,Broja,Armando,Broja,3,4,Burnley
66,Neto,Norberto,Murara Neto,4,1,Bournemouth
67,Petrović,Đorđe,Petrović,4,1,Bournemouth
68,Dennis,Will,Dennis,4,1,Bournemouth
69,McKenna,Callan,McKenna,4,1,Bournemouth
70,Paulsen,Alex,Paulsen,4,1,Bournemouth
71,Zabarnyi,Illia,Zabarnyi,4,2,Bournemouth
72,Senesi,Marcos,Senesi Barón,4,2,Bournemouth
73,Smith,Adam,Smith,4,2,Bournemouth
74,Truffert,Adrien,Truffert,4,2,Bournemouth
75,Akinmboni,Matai,Akinmboni,4,2,Bournemouth
76,Bevan,Owen,Bevan,4,2,Bournemouth
77,Hill,James,Hill,4,2,Bournemouth
78,J.Araujo,Julián,Araujo Zúñiga,4,2,Bournemouth
79,Mepham,Chris,Mepham,4,2,Bournemouth
80,Soler,Julio,Soler Barreto,4,2,Bournemouth
81,Kluivert,Justin,Kluivert,4,3,Bournemouth
82,Semenyo,Antoine,Semenyo,4,3,Bournemouth
84,Tavernier,Marcus,Tavernier,4,3,Bournemouth
85,Adams,Tyler,Adams,4,3,Bournemouth
86,Brooks,David,Brooks,4,3,Bournemouth
87,Christie,Ryan,Christie,4,3,Bournemouth
88,Cook,Lewis,Cook,4,3,Bournemouth
89,Philip,Philip,Billing,4,3,Bournemouth
90,Scott,Alex,Scott,4,3,Bournemouth
91,Sinisterra,Luis,Sinisterra Lucumí,4,3,Bournemouth
92,Faivre,Romain,Faivre,4,3,Bournemouth
93,H.Traorè,Hamed,Traorè,4,3,Bournemouth
94,Sadi,Dominic,Sadi,4,3,Bournemouth
95,Silcott-Duberry,Zain,Silcott-Duberry,4,3,Bournemouth
96,Winterburn,Ben,Winterburn,4,3,Bournemouth
97,Evanilson,Francisco Evanilson,de Lima Barbosa,4,4,Bournemouth
98,Enes Ünal,Enes,Ünal,4,4,Bournemouth
99,Adu-Adjei,Daniel,Adu-Adjei,4,4,Bournemouth
100,Kroupi.Jr,Eli Junior,Kroupi,4,4,Bournemouth
391,Gannon-Doak,Ben,Gannon-Doak,4,3,Bournemouth
685,Diakité,Bafodé,Diakité,4,2,Bournemouth
687,Rees-Dottin,Remy,Rees-Dottin,4,3,Bournemouth
697,Adli,Amine,Adli,4,3,Bournemouth
83,O.Dango,Dango,Ouattara,5,3,Brentford
101,Kelleher,Caoimhín,Kelleher,5,1,Brentford
102,Balcombe,Ellery,Balcombe,5,1,Brentford
103,Cox,Matthew,Cox,5,1,Brentford
104,Eyestone,Julian,Eyestone,5,1,Brentford
105,Valdimarsson,Hákon Rafn,Valdimarsson,5,1,Brentford
106,Collins,Nathan,Collins,5,2,Brentford
107,Lewis-Potter,Keane,Lewis-Potter,5,2,Brentford
108,Ajer,Kristoffer,Ajer,5,2,Brentford
109,Henry,Rico,Henry,5,2,Brentford
110,Kayode,Michael,Kayode,5,2,Brentford
111,Pinnock,Ethan,Pinnock,5,2,Brentford
112,Roerslev,Mads,Roerslev Rasmussen,5,2,Brentford
113,Van den Berg,Sepp,van den Berg,5,2,Brentford
114,Arthur,Benjamin,Arthur,5,2,Brentford
115,Fredrick,Benjamin,Fredrick,5,2,Brentford
116,Hickey,Aaron,Hickey,5,2,Brentford
