id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,selected_by_percent,status,chance_of_playing_this_round
1,Raya,1,1,55,0,0,21.5,a,
2,Arrizabalaga,1,1,45,0,0,0.8,a,
3,Hein,1,1,40,0,0,0.6,u,
4,Setford,1,1,40,0,0,0.2,a,
5,Gabriel,1,2,61,1,1,20.7,a,
6,Saliba,1,2,61,1,1,18.1,a,
7,Calafiori,1,2,56,1,1,7.3,a,
8,J.Timber,1,2,55,0,0,5.7,a,
9,Kiwior,1,2,54,-1,-1,0.1,a,
10,Lewis-Skelly,1,2,54,-1,-1,3.2,a,
11,White,1,2,55,0,0,0.8,d,75.0
12,Zinchenko,1,2,50,0,0,0.3,a,
13,Clarke,1,2,40,0,0,0.6,a,
14,Kacurri,1,2,40,0,0,0.2,a,
15,Nichols,1,2,40,0,0,0.2,a,
16,Saka,1,3,100,0,0,12.7,d,
17,Ødegaard,1,3,80,0,0,3.1,d,
18,Madueke,1,3,70,0,0,1.0,a,
19,Martinelli,1,3,70,0,0,1.2,a,
20,Trossard,1,3,69,-1,-1,0.3,a,100.0
21,Rice,1,3,65,0,0,8.6,a,
22,Merino,1,3,59,-1,-1,0.4,a,
23,Fábio Vieira,1,3,55,0,0,0.0,a,
24,Nørgaard,1,3,54,-1,-1,0.3,i,0.0
25,Nwaneri,1,3,54,-1,-1,0.2,a,
26,Zubimendi,1,3,55,0,0,2.1,a,
27,Nelson,1,3,50,0,0,0.1,a,
28,Kabia,1,3,45,0,0,0.3,a,
29,Sambi,1,3,45,0,0,0.1,a,
30,Havertz,1,4,74,-1,-1,0.7,i,0.0
31,G.Jesus,1,4,65,0,0,0.0,i,0.0
266,Eze,1,3,75,0,0,10.4,a,
662,Mosquera,1,2,54,-1,-1,0.1,a,
666,Gyökeres,1,4,90,0,0,25.3,a,
700,Dowman,1,3,45,0,0,0.2,a,
32,Martinez,2,1,50,0,0,1.5,a,100.0
33,M.Bizot,2,1,45,0,0,0.9,a,
34,Gauci,2,1,40,0,0,0.2,u,0.0
35,Marschall,2,1,40,0,0,0.0,u,0.0
36,Cash,2,2,45,0,0,5.2,a,
37,Digne,2,2,45,0,0,2.3,a,
38,Konsa,2,2,45,0,0,15.0,a,0.0
39,Maatsen,2,2,45,0,0,0.7,a,
40,Mings,2,2,45,0,0,1.4,a,
41,Pau,2,2,45,0,0,0.5,a,
42,A.García,2,2,40,0,0,0.2,d,25.0
43,Alex Moreno,2,2,40,0,0,8.2,u,
44,Bogarde,2,2,40,0,0,0.3,a,
45,Sousa,2,2,40,0,0,0.3,a,
46,Yasin,2,2,40,0,0,0.2,a,
47,Rogers,2,3,70,0,0,9.2,a,100.0
48,Tielemans,2,3,60,0,0,2.0,a,
49,Bailey,2,3,55,0,0,0.2,u,0.0
50,Buendía,2,3,54,0,-1,0.1,a,
51,Iling Jr,2,3,55,0,0,0.0,a,
53,Malen,2,3,54,0,-1,1.3,a,
54,McGinn,2,3,55,0,0,0.7,a,
55,Barkley,2,3,49,-1,-1,0.1,d,25.0
56,Barrenechea,2,3,50,0,0,0.0,u,0.0
57,Dobbin,2,3,50,0,0,0.1,u,
58,Kamara,2,3,50,0,0,0.2,d,
59,Onana,2,3,50,0,0,1.8,a,
60,Broggio,2,3,45,0,0,0.3,a,
61,Dendoncker,2,3,45,0,0,0.2,u,0.0
62,Jimoh-Aloba,2,3,45,0,0,0.1,a,
63,Young,2,3,45,0,0,0.7,a,
64,Watkins,2,4,90,0,0,22.1,a,
65,Redmond,2,4,45,0,0,0.8,a,
677,Guessand,2,3,65,0,0,0.1,a,
688,Wright,2,1,40,0,0,0.5,a,
701,Rowe,2,2,40,0,0,0.1,a,
702,Burrowes,2,3,45,0,0,0.1,a,
703,Proctor,2,1,40,0,0,0.1,a,
183,Weiss,3,1,45,0,0,0.2,a,
184,Green,3,1,40,0,0,0.4,a,
185,Hladký,3,1,40,0,0,0.2,a,
186,Roberts,3,2,45,0,0,0.1,i,0.0
187,Walker,3,2,45,0,0,1.9,a,
188,Delcroix,3,2,40,0,0,0.3,a,
189,Dodgson,3,2,40,0,0,0.0,u,0.0
190,Ekdal,3,2,40,0,0,0.7,a,
191,Estève,3,2,40,0,0,18.9,a,
192,Hartman,3,2,40,0,0,0.5,a,
193,Humphreys,3,2,40,0,0,0.0,d,75.0
194,Jordan,3,2,40,0,0,0.1,i,0.0
195,Lucas Pires,3,2,40,0,0,0.1,a,
196,Sambo,3,2,40,0,0,0.1,u,0.0
197,Sonne,3,2,40,0,0,0.2,a,
198,Tuanzebe,3,2,40,0,0,1.9,d,75.0
199,Worrall,3,2,40,0,0,0.1,a,
200,Anthony,3,3,55,0,0,0.3,a,
201,Benson,3,3,55,0,0,0.0,a,
202,Bruun Larsen,3,3,55,0,0,0.0,a,
203,Boateng,3,3,50,0,0,0.1,a,
204,Churlinov,3,3,50,0,0,0.0,a,
205,Cullen,3,3,50,0,0,1.0,a,
206,Edwards,3,3,49,-1,-1,0.1,a,
207,Hannibal,3,3,50,0,0,0.2,a,
208,Koleosho,3,3,50,0,0,0.0,u,0.0
209,Laurent,3,3,50,0,0,0.0,a,
210,Tchaouna,3,3,50,0,0,0.0,a,
211,A.Ramsey,3,3,45,0,0,8.0,a,
212,Adewumi,3,3,45,0,0,0.0,u,0.0
213,Banel,3,3,45,0,0,0.0,a,
214,Trésor,3,3,45,0,0,0.1,a,
215,Flemming,3,4,55,0,0,0.2,a,
216,Amdouni,3,4,50,0,0,0.0,i,0.0
217,Foster,3,4,50,0,0,0.6,a,
218,Barnes,3,4,45,0,0,2.1,a,
219,Obafemi,3,4,45,0,0,0.4,a,
470,Dúbravka,3,1,40,0,0,34.2,a,100.0
676,Ugochukwu,3,3,50,0,0,0.0,a,100.0
680,Broja,3,4,55,0,0,0.2,d,75.0
66,Neto,4,1,45,0,0,0.1,u,0.0
67,Petrović,4,1,45,0,0,3.6,a,
68,Dennis,4,1,40,0,0,1.1,a,
69,McKenna,4,1,40,0,0,0.2,a,
70,Paulsen,4,1,40,0,0,0.1,a,
71,Zabarnyi,4,2,50,0,0,0.0,u,0.0
72,Senesi,4,2,45,0,0,1.6,a,
73,Smith,4,2,45,0,0,0.4,a,
74,Truffert,4,2,45,0,0,1.0,a,
75,Akinmboni,4,2,40,0,0,0.3,a,
76,Bevan,4,2,40,0,0,0.2,a,
77,Hill,4,2,40,0,0,0.7,a,
78,J.Araujo,4,2,40,0,0,1.2,a,
79,Mepham,4,2,40,0,0,0.2,a,
80,Soler,4,2,40,0,0,0.3,a,
81,Kluivert,4,3,70,0,0,0.6,a,50.0
82,Semenyo,4,3,72,1,2,20.7,a,
84,Tavernier,4,3,55,0,0,1.0,a,
85,Adams,4,3,50,0,0,0.3,a,
86,Brooks,4,3,50,0,0,0.3,a,
87,Christie,4,3,50,0,0,0.1,a,75.0
88,Cook,4,3,50,0,0,0.0,i,0.0
89,Philip,4,3,50,0,0,0.1,a,
90,Scott,4,3,50,0,0,0.1,a,
91,Sinisterra,4,3,50,0,0,0.0,u,100.0
92,Faivre,4,3,45,0,0,0.2,a,
93,H.Traorè,4,3,45,0,0,1.3,a,
94,Sadi,4,3,45,0,0,0.1,a,
95,Silcott-Duberry,4,3,45,0,0,0.1,a,
96,Winterburn,4,3,45,0,0,0.1,a,
97,Evanilson,4,4,70,0,0,2.2,a,
