id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_this_round,news,minutes,total_points,expected_goals,expected_assists,expected_goal_involvements
1,Raya,1,1,55,0,0,68145,69380,23.4,a,,,360,24,0.0,0.02,0.02
2,Arrizabalaga,1,1,44,0,-1,488,4371,0.6,a,,,0,0,0.0,0.0,0.0
3,Hein,1,1,40,0,0,0,2681,0.4,u,0.0,Has joined Werder Bremen on loan for the rest of the season.,0,0,0.0,0.0,0.0
4,Setford,1,1,40,0,0,2079,1151,0.2,a,,,0,0,0.0,0.0,0.0
5,Gabriel,1,2,61,0,1,98749,53617,22.0,a,,,360,23,0.26,0.03,0.29
6,Saliba,1,2,60,-1,0,3627,177039,12.6,a,75.0,,184,16,0.0,0.01,0.01
7,Calafiori,1,2,57,0,2,116594,50250,13.7,a,,,291,33,1.43,0.04,1.47
8,J.Timber,1,2,57,0,2,203334,36759,12.0,a,,,262,34,1.2,0.12,1.32
9,Kiwior,1,2,54,0,-1,0,997,0.1,u,0.0,has joined Porto on loan for the rest of the season.,0,0,0.0,0.0,0.0
10,Lewis-Skelly,1,2,53,-1,-2,2397,23915,2.3,a,,,66,2,0.0,0.0,0.0
11,White,1,2,54,0,-1,1116,3916,0.5,d,100.0,Knock - 75% chance of playing,70,6,0.01,0.01,0.02
13,Clarke,1,2,40,0,0,1455,3240,0.5,a,,,0,0,0.0,0.0,0.0
14,Kacurri,1,2,39,-1,-1,1982,1116,0.2,a,,,0,0,0.0,0.0,0.0
15,Nichols,1,2,39,-1,-1,397,936,0.2,a,,,0,0,0.0,0.0,0.0
16,Saka,1,3,98,0,-2,1013,67318,3.8,i,0.0,Hamstring injury - Unknown return date,142,9,0.26,0.12,0.38
17,Ødegaard,1,3,79,0,-1,2241,43594,2.3,d,100.0,Shoulder injury - 75% chance of playing,164,8,0.14,0.35,0.49
18,Madueke,1,3,70,0,0,35329,13382,1.7,a,,,259,9,0.14,0.85,0.99
19,Martinelli,1,3,69,0,-1,2116,8724,1.0,a,,,140,5,0.02,0.01,0.03
20,Trossard,1,3,69,0,-1,1025,1296,0.3,a,100.0,,48,5,0.07,0.29,0.36
21,Rice,1,3,65,0,0,23451,79140,8.8,a,,,284,17,0.15,0.68,0.83
22,Merino,1,3,59,0,-1,10173,5089,0.5,a,,,166,7,0.13,0.09,0.22
23,Fábio Vieira,1,3,54,0,-1,0,446,0.0,u,0.0,has joined Hamburger on loan for the rest of the season.,0,0,0.0,0.0,0.0
24,Nørgaard,1,3,54,0,-1,382,1586,0.2,a,100.0,,0,0,0.0,0.0,0.0
25,Nwaneri,1,3,53,-1,-2,779,1609,0.2,a,,,124,4,0.17,0.04,0.21
26,Zubimendi,1,3,54,0,-1,167555,17771,3.2,a,,,360,25,0.21,0.08,0.29
28,Kabia,1,3,45,0,0,0,2531,0.2,u,0.0,has joined Shrewsbury Town on loan for the rest of the season.,0,0,0.0,0.0,0.0
29,Sambi,1,3,45,0,0,0,1256,0.1,u,0.0,has joined Hamburger permanently.,0,0,0.0,0.0,0.0
30,Havertz,1,4,74,0,-1,82,3153,0.4,i,0.0,Knee injury - Unknown return date,30,1,0.0,0.01,0.01
31,G.Jesus,1,4,65,0,0,61,250,0.0,i,0.0,Knee injury - Expected back 30 Dec,0,0,0.0,0.0,0.0
