id,web_name,first_name,second_name,position,team_name,team_short,price_m,delta_price_this_gw,delta_price_since_start,transfers_in_between_gws_current,transfers_out_between_gws_current,transfers_in,transfers_out,selected_by_percent,status,chance_of_playing_next_round,chance_of_playing_this_round,current_gw,current_gw_deadline_utc,last_updated_utc,team,element_type,now_cost,cost_change_event,cost_change_start
1,Raya,David,Raya Martín,GK,Arsenal,ARS,5.5,0.0,0.0,221854,47286,221854,47286,20.4,a,,,1,2025-08-15T17:30:00Z,2025-08-21T21:40:16Z,1,1,55,0,0
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,GK,Arsenal,ARS,4.5,0.0,0.0,1945,10103,1945,10103,0.9,a,,,1,2025-08-15T17:30:00Z,2025-08-21T21:40:16Z,1,1,45,0,0
3,Hein,Karl,Hein,GK,Arsenal,ARS,4.0,0.0,0.0,3343,4200,3343,4200,0.6,a,,,1,2025-08-15T17:30:00Z,2025-08-21T21:40:16Z,1,1,40,0,0
4,Setford,Tommy,Setford,GK,Arsenal,ARS,4.0,0.0,0.0,835,1251,835,1251,0.2,a,,,1,2025-08-15T17:30:00Z,2025-08-21T21:40:16Z,1,1,40,0,0
5,Gabriel,Gabriel,dos Santos Magalhães,DEF,Arsenal,ARS,6.0,0.0,0.0,226579,65848,226579,65848,20.2,a,,,1,2025-08-15T17:30:00Z,2025-08-21T21:40:16Z,1,2,60,0,0
6,Saliba,William,Saliba,DEF,Arsenal,ARS,6.0,0.0,0.0,217666,51474,217666,51474,16.9,a,,,1,2025-08-15T17:30:00Z,2025-08-21T21:40:16Z,1,2,60,0,0
7,Calafiori,Riccardo,Calafiori,DEF,Arsenal,ARS,5.5,0.0,0.0,181087,19357,181087,19357,3.5,a,,,1,2025-08-15T17:30:00Z,2025-08-21T21:40:16Z,1,2,55,0,0
8,J.Timber,Jurriën,Timber,DEF,Arsenal,ARS,5.5,0.0,0.0,11407,30884,11407,30884,2.1,a,,,1,2025-08-15T17:30:00Z,2025-08-21T21:40:16Z,1,2,55,0,0
9,Kiwior,Jakub,Kiwior,DEF,Arsenal,ARS,5.5,0.0,0.0,320,1758,320,1758,0.1,a,,,1,2025-08-15T17:30:00Z,2025-08-21T21:40:16Z,1,2,55,0,0
10,Lewis-Skelly,Myles,Lewis-Skelly,DEF,Arsenal,ARS,5.5,0.0,0.0,17315,61219,17315,61219,3.9,a,,,1,2025-08-15T17:30:00Z,2025-08-21T21:40:16Z,1,2,55,0,0
11,White,Benjamin,White,DEF,Arsenal,ARS,5.5,0.0,0.0,16857,6421,16857,6421,1.0,a,,,1,2025-08-15T17:30:00Z,2025-08-21T21:40:16Z,1,2,55,0,0
12,Zinchenko,Oleksandr,Zinchenko,DEF,Arsenal,ARS,5.0,0.0,0.0,2760,5743,2760,5743,0.4,a,,,1,2025-08-15T17:30:00Z,2025-08-21T21:40:16Z,1,2,50,0,0
13,Clarke,Brayden,Clarke,DEF,Arsenal,ARS,4.0,0.0,0.0,5455,6645,5455,6645,0.6,a,,,1,2025-08-15T17:30:00Z,2025-08-21T21:40:16Z,1,2,40,0,0
14,Kacurri,Maldini,Kacurri,DEF,Arsenal,ARS,4.0,0.0,0.0,1277,2246,1277,2246,0.2,a,,,1,2025-08-15T17:30:00Z,2025-08-21T21:40:16Z,1,2,40,0,0
15,Nichols,Josh,Nichols,DEF,Arsenal,ARS,4.0,0.0,0.0,977,1922,977,1922,0.2,a,,,1,2025-08-15T17:30:00Z,2025-08-21T21:40:16Z,1,2,40,0,0
16,Saka,Bukayo,Saka,MID,Arsenal,ARS,10.0,0.0,0.0,105133,88509,105133,88509,17.0,a,,,1,2025-08-15T17:30:00Z,2025-08-21T21:40:16Z,1,3,100,0,0
