id,web_name,team_name,position,price_m,transfers_in,transfers_out,transfers_in_event,transfers_out_event,selected_by_percent,status,minutes,total_points,event_points,form,ict_index,first_name,second_name,team,now_cost,chance_of_playing_next_round,cost_change_event,cost_change_start,cost_change_event_fall,cost_change_start_fall,in_dreamteam,element_type
1,Raya,Arsenal,GK,5.5,225505,48159,225505,48159,20.4,a,90,10,10,10.0,4.9,David,Raya Martín,1,55,,0,0,0,0,True,1
2,Arrizabalaga,Arsenal,GK,4.5,1955,10220,1955,10220,0.9,a,0,0,0,0.0,0.0,Kepa,Arrizabalaga Revuelta,1,45,,0,0,0,0,False,1
3,Hein,Arsenal,GK,4.0,3380,4277,3380,4277,0.6,a,0,0,0,0.0,0.0,Karl,Hein,1,40,,0,0,0,0,False,1
4,Setford,Arsenal,GK,4.0,848,1272,848,1272,0.2,a,0,0,0,0.0,0.0,Tommy,Setford,1,40,,0,0,0,0,False,1
5,Gabriel,Arsenal,DEF,6.0,235873,66954,235873,66954,20.3,a,90,6,6,6.0,2.7,Gabriel,dos Santos Magalhães,1,60,,0,0,0,0,False,2
6,Saliba,Arsenal,DEF,6.0,225181,52295,225181,52295,17.0,a,90,9,9,9.0,3.2,William,Saliba,1,60,,0,0,0,0,False,2
7,Calafiori,Arsenal,DEF,5.5,187291,19946,187291,19946,3.6,a,71,13,13,13.0,7.3,Riccardo,Calafiori,1,55,,0,0,0,0,True,2
8,J.Timber,Arsenal,DEF,5.5,11586,31306,11586,31306,2.1,a,19,0,0,0.0,0.3,Jurriën,Timber,1,55,,0,0,0,0,False,2
9,Kiwior,Arsenal,DEF,5.5,327,1786,327,1786,0.1,a,0,0,0,0.0,0.0,Jakub,Kiwior,1,55,,0,0,0,0,False,2
10,Lewis-Skelly,Arsenal,DEF,5.5,17444,61935,17444,61935,3.9,a,18,0,0,0.0,0.0,Myles,Lewis-Skelly,1,55,,0,0,0,0,False,2
11,White,Arsenal,DEF,5.5,17312,6539,17312,6539,1.0,a,70,6,6,6.0,2.8,Benjamin,White,1,55,,0,0,0,0,False,2
12,Zinchenko,Arsenal,DEF,5.0,2775,5798,2775,5798,0.4,a,0,0,0,0.0,0.0,Oleksandr,Zinchenko,1,50,,0,0,0,0,False,2
13,Clarke,Arsenal,DEF,4.0,5530,6775,5530,6775,0.6,a,0,0,0,0.0,0.0,Brayden,Clarke,1,40,,0,0,0,0,False,2
14,Kacurri,Arsenal,DEF,4.0,1296,2284,1296,2284,0.2,a,0,0,0,0.0,0.0,Maldini,Kacurri,1,40,,0,0,0,0,False,2
15,Nichols,Arsenal,DEF,4.0,987,1951,987,1951,0.2,a,0,0,0,0.0,0.0,Josh,Nichols,1,40,,0,0,0,0,False,2
