id,first_name,second_name,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,news,chance_of_playing_next_round,chance_of_playing_this_round
1,David,Raya Martín,Raya,1,1,55,0,0,244942,52215,20.7,a,,,
2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,45,0,0,2026,10908,0.8,a,,,
3,Karl,Hein,Hein,1,1,40,0,0,3553,4631,0.6,a,,,
4,Tommy,Setford,Setford,1,1,40,0,0,897,1366,0.2,a,,,
5,Gabriel,dos Santos Magalhães,Gabriel,1,2,60,0,0,275235,72117,20.7,a,,,
6,William,Saliba,Saliba,1,2,60,0,0,260320,56557,17.4,a,,,
7,Riccardo,Calafiori,Calafiori,1,2,55,0,0,219911,22412,4.0,a,,,
8,Jurriën,Timber,J.Timber,1,2,55,0,0,12390,33744,2.1,a,,,
9,Jakub,Kiwior,Kiwior,1,2,55,0,0,347,1921,0.1,a,,,
10,Myles,Lewis-Skelly,Lewis-Skelly,1,2,55,0,0,18083,66075,3.8,a,,,
11,Benjamin,White,White,1,2,55,0,0,19888,7120,1.1,a,,,
12,Oleksandr,Zinchenko,Zinchenko,1,2,50,0,0,2885,6122,0.4,a,,,
13,Brayden,Clarke,Clarke,1,2,40,0,0,5815,7314,0.6,a,,,
14,Maldini,Kacurri,Kacurri,1,2,40,0,0,1378,2468,0.2,a,,,
15,Josh,Nichols,Nichols,1,2,40,0,0,1030,2084,0.2,a,,,
16,Bukayo,Saka,Saka,1,3,100,0,0,123328,96833,17.1,a,,,
17,Martin,Ødegaard,Ødegaard,1,3,80,0,0,42021,31022,3.9,a,,,
18,Noni,Madueke,Madueke,1,3,70,0,0,3161,17521,1.0,a,,,
19,Gabriel,Martinelli Silva,Martinelli,1,3,70,0,0,8371,16970,1.4,a,,,
20,Leandro,Trossard,Trossard,1,3,70,0,0,765,6588,0.3,a,,100.0,75.0
21,Declan,Rice,Rice,1,3,65,0,0,78861,61118,8.3,a,,,
