id,code,team,team_code,element_type,first_name,second_name,web_name,status,news,news_added,now_cost,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,chance_of_playing_next_round,chance_of_playing_this_round,total_points,event_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,form,value_form,value_season,points_per_game,ep_next,ep_this,transfers_in,transfers_out,transfers_in_event,transfers_out_event
1,154561,1,3,1,David,Raya Martín,Raya,a,,,55,0,0,0,0,20.7,,,10,10,90,0,0,1,0,0,0,0,1,0,7,3,38,49.2,0.0,0.0,4.9,10.0,1.8,1.8,10.0,5.0,4.5,244942,52215,244942,52215
2,109745,1,3,1,Kepa,Arrizabalaga Revuelta,Arrizabalaga,a,,,45,0,0,0,0,0.8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,2.8,2026,10908,2026,10908
3,463748,1,3,1,Karl,Hein,Hein,a,,,40,0,0,0,0,0.6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,3553,4631,3553,4631
4,551221,1,3,1,Tommy,Setford,Setford,a,,,40,0,0,0,0,0.2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,897,1366,897,1366
5,226597,1,3,2,Gabriel,dos Santos Magalhães,Gabriel,a,,,60,0,0,0,0,20.7,,,6,6,90,0,0,1,0,0,0,0,0,0,0,0,23,22.8,0.3,4.0,2.7,6.0,1.0,1.0,6.0,5.0,4.5,275235,72117,275235,72117
6,462424,1,3,2,William,Saliba,Saliba,a,,,60,0,0,0,0,17.4,,,9,9,90,0,0,1,0,0,0,0,0,0,0,1,25,31.4,0.1,0.0,3.2,9.0,1.5,1.5,9.0,5.0,4.5,260320,56557,260320,56557
7,466075,1,3,2,Riccardo,Calafiori,Calafiori,a,,,55,0,0,0,0,4.0,,,13,13,71,1,0,1,0,0,0,0,1,0,0,2,33,36.2,2.1,35.0,7.3,13.0,2.4,2.4,13.0,4.3,3.8,219911,22412,219911,22412
8,445122,1,3,2,Jurriën,Timber,J.Timber,a,,,55,0,0,0,0,2.1,,,0,0,19,0,0,0,0,0,0,0,1,0,0,0,-3,3.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,4.3,3.8,12390,33744,12390,33744
9,440854,1,3,2,Jakub,Kiwior,Kiwior,a,,,55,0,0,0,0,0.1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,3.8,347,1921,347,1921
10,499169,1,3,2,Myles,Lewis-Skelly,Lewis-Skelly,a,,,55,0,0,0,0,3.8,,,0,0,18,0,0,0,0,0,0,0,1,0,0,0,-1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,3.8,18083,66075,18083,66075
