first_name,second_name,web_name,status,news,news_added,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,cost_change_start,cost_change_event,transfers_in_event,transfers_out_event,selected_by_percent,team,element_type,assists,birth_date,bonus,bps,can_select,can_transact,clean_sheets,clean_sheets_per_90,clearances_blocks_interceptions,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event_fall,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,defensive_contribution,defensive_contribution_per_90,direct_freekicks_order,direct_freekicks_text,dreamteam_count,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,has_temporary_code,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,now_cost_rank,now_cost_rank_type,opta_code,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,recoveries,red_cards,region,removed,saves,saves_per_90,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,tackles,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_out,value_form,value_season,yellow_cards
David,Raya Martín,Raya,a,,,,,55,0,0,244942,52215,20.7,1,1,0,1995-09-15,3,38,True,True,1,1.0,1,154561,,,0,0,0.0,634,81,0,0.0,,,1,5.0,4.5,10,0.00,0.0,0.00,0.0,0.00,1.52,1.52,0.0,10.0,9,1,0,0.0,0,False,4.9,60,1,1,True,49.2,9,1,90,130,3,p154561,0,0,,0,,154561.jpg,10.0,9,1,13,0,200.0,False,7,7.0,21,3,False,,1,1.0,0,3,2024-07-04,0.0,617,81,10,244942,52215,1.8,1.8,1
Kepa,Arrizabalaga Revuelta,Arrizabalaga,a,,,,,45,0,0,2026,10908,0.8,1,1,0,1994-10-03,0,0,True,True,0,0.0,0,109745,,,0,0,0.0,394,53,0,0.0,,,0,3.3,2.8,0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,407,69,0,0.0,0,False,0.0,414,70,2,False,0.0,396,70,0,382,22,p109745,0,0,,0,,109745.jpg,0.0,407,69,0,0,200.0,False,0,0.0,196,27,False,,0,0.0,0,3,2025-07-01,0.0,339,52,0,2026,10908,0.0,0.0,0
Karl,Hein,Hein,a,,,,,40,0,0,3553,4631,0.6,1,1,0,2002-04-13,0,0,True,True,0,0.0,0,463748,,,0,0,0.0,322,30,0,0.0,,,0,2.0,1.5,0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,336,47,0,0.0,0,False,0.0,344,48,3,False,0.0,326,48,0,630,64,p463748,0,0,,0,,463748.jpg,0.0,336,47,0,0,67.0,False,0,0.0,227,32,False,,0,0.0,0,3,2020-10-28,0.0,261,29,0,3553,4631,0.0,0.0,0
Tommy,Setford,Setford,a,,,,,40,0,0,897,1366,0.2,1,1,0,2006-03-13,0,0,True,True,0,0.0,0,551221,,,0,0,0.0,360,44,0,0.0,,,0,2.0,1.5,0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,374,61,0,0.0,0,False,0.0,381,62,4,False,0.0,363,62,0,674,78,p551221,0,0,,0,,551221.jpg,0.0,374,61,0,0,241.0,False,0,0.0,427,62,False,,0,0.0,0,3,2024-07-24,0.0,301,43,0,897,1366,0.0,0.0,0
Gabriel,dos Santos Magalhães,Gabriel,a,,,,,60,0,0,275235,72117,20.7,1,2,0,1997-12-19,0,23,True,True,1,1.0,6,226597,,,0,0,0.3,253,91,7,7.0,,,0,5.0,4.5,6,0.00,0.0,0.00,0.0,0.00,1.52,1.52,0.0,6.0,62,33,0,0.0,0,False,2.7,132,41,5,False,22.8,62,20,90,95,5,p226597,0,0,,0,,226597.jpg,6.0,62,33,1,0,30.0,False,0,0.0,22,8,False,,1,1.0,1,3,2020-09-01,4.0,140,38,6,275235,72117,1.0,1.0,0
William,Saliba,Saliba,a,,,,,60,0,0,260320,56557,17.4,1,2,0,2001-03-24,1,25,True,True,1,1.0,10,462424,,,0,0,0.1,265,96,14,14.0,,,0,5.0,4.5,9,0.00,0.0,0.00,0.0,0.00,1.52,1.52,0.0,9.0,22,10,0,0.0,0,False,3.2,108,31,6,False,31.4,28,7,90,99,7,p462424,0,0,,0,,462424.jpg,9.0,22,10,3,0,73.0,False,0,0.0,27,10,False,,1,1.0,4,3,2019-07-25,0.0,673,230,9,260320,56557,1.5,1.5,0
Riccardo,Calafiori,Calafiori,a,,,,,55,0,0,219911,22412,4.0,1,2,0,2002-05-19,2,33,True,True,1,1.27,3,466075,,,0,0,2.1,165,49,4,5.07,,,1,4.3,3.8,13,0.01,0.01,0.92,1.16,0.91,0.87,1.1,1.15,13.0,3,2,0,0.0,1,False,7.3,25,5,7,True,36.2,18,4,71,178,25,p466075,0,0,,0,,466075.jpg,13.0,3,2,5,0,106.0,False,0,0.0,83,31,False,,1,1.27,1,3,2024-07-29,35.0,13,2,13,219911,22412,2.4,2.4,1
Jurriën,Timber,J.Timber,a,,,,,55,0,0,12390,33744,2.1,1,2,0,2001-06-17,0,-3,True,True,0,0.0,1,445122,,,0,0,0.3,250,90,3,14.21,,,0,4.3,3.8,0,0.00,0.0,0.00,0.0,0.00,0.66,3.13,0.0,0.0,652,224,0,0.0,0,False,0.3,277,96,8,False,3.0,233,91,19,174,23,p445122,0,0,,0,,445122.jpg,0.0,652,224,1,0,152.0,False,0,0.0,124,48,False,,0,0.0,2,3,2023-07-14,0.0,643,222,0,12390,33744,0.0,0.0,1
Jakub,Kiwior,Kiwior,a,,,,,55,0,0,347,1921,0.1,1,2,0,2000-02-15,0,0,True,True,0,0.0,0,440854,,,0,0,0.0,652,226,0,0.0,,,0,4.3,3.8,0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,650,223,0,0.0,0,False,0.0,654,227,9,False,0.0,644,228,0,170,21,p440854,0,0,,0,,440854.jpg,0.0,650,223,0,0,172.0,False,0,0.0,465,177,False,,0,0.0,0,3,2023-01-23,0.0,641,221,0,347,1921,0.0,0.0,0
Myles,Lewis-Skelly,Lewis-Skelly,a,,,,,55,0,0,18083,66075,3.8,1,2,0,2006-09-26,0,-1,True,True,0,0.0,1,499169,,,0,0,0.0,660,228,1,5.0,,,0,4.3,3.8,0,0.00,0.0,0.00,0.0,0.00,0.66,3.3,0.0,0.0,659,226,0,0.0,0,False,0.0,662,229,10,False,0.2,269,97,18,189,27,p499169,0,0,,0,,499169.jpg,0.0,659,226,0,0,241.0,False,0,0.0,85,32,False,,0,0.0,0,3,2022-12-04,0.0,651,225,0,18083,66075,0.0,0.0,1
