id,element,player_id,code,team,team_code,team_name,team_short,element_type,position,first_name,second_name,web_name,status,news,news_added,now_cost,price_m,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,chance_of_playing_next_round,chance_of_playing_this_round,transfers_in,transfers_out,transfers_in_event,transfers_out_event,total_points,event_points,minutes,can_transact,can_select,dreamteam_count,ep_next,ep_this,form,in_dreamteam,photo,points_per_game,removed,special,squad_number,value_form,value_season,region,team_join_date,birth_date,has_temporary_code,opta_code,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90
1,1,1,154561,1,3,Arsenal,ARS,1,GKP,David,Raya Martín,Raya,a,,,55,5.5,0,0,0,0,20.7,,,244942,52215,244942,52215,10,10,90,True,True,1,5.0,4.5,10.0,True,154561.jpg,10.0,False,False,,1.8,1.8,200.0,2024-07-04,1995-09-15,False,p154561,0,0,1,0,0,0,0,1,0,7,3,38,49.2,0.0,0.0,4.9,1,13,0,0,1,0.00,0.00,0.00,1.52,9,1,634,81,617,81,60,1,,,,,,,0.0,7.0,0.0,0.0,1.52,0.0,130,3,9,1,9,1,21,3,1.0,1.0,0.0
2,2,2,109745,1,3,Arsenal,ARS,1,GKP,Kepa,Arrizabalaga Revuelta,Arrizabalaga,a,,,45,4.5,0,0,0,0,0.8,,,2026,10908,2026,10908,0,0,0,True,True,0,3.3,2.8,0.0,False,109745.jpg,0.0,False,False,,0.0,0.0,200.0,2025-07-01,1994-10-03,False,p109745,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,396,70,394,53,339,52,414,70,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,382,22,407,69,407,69,196,27,0.0,0.0,0.0
3,3,3,463748,1,3,Arsenal,ARS,1,GKP,Karl,Hein,Hein,a,,,40,4.0,0,0,0,0,0.6,,,3553,4631,3553,4631,0,0,0,True,True,0,2.0,1.5,0.0,False,463748.jpg,0.0,False,False,,0.0,0.0,67.0,2020-10-28,2002-04-13,False,p463748,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,326,48,322,30,261,29,344,48,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,630,64,336,47,336,47,227,32,0.0,0.0,0.0
4,4,4,551221,1,3,Arsenal,ARS,1,GKP,Tommy,Setford,Setford,a,,,40,4.0,0,0,0,0,0.2,,,897,1366,897,1366,0,0,0,True,True,0,2.0,1.5,0.0,False,551221.jpg,0.0,False,False,,0.0,0.0,241.0,2024-07-24,2006-03-13,False,p551221,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,363,62,360,44,301,43,381,62,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,674,78,374,61,374,61,427,62,0.0,0.0,0.0
5,5,5,226597,1,3,Arsenal,ARS,2,DEF,Gabriel,dos Santos Magalhães,Gabriel,a,,,60,6.0,0,0,0,0,20.7,,,275235,72117,275235,72117,6,6,90,True,True,0,5.0,4.5,6.0,False,226597.jpg,6.0,False,False,,1.0,1.0,30.0,2020-09-01,1997-12-19,False,p226597,0,0,1,0,0,0,0,0,0,0,0,23,22.8,0.3,4.0,2.7,6,1,1,7,1,0.00,0.00,0.00,1.52,62,20,253,91,140,38,132,41,,,,,,,0.0,0.0,0.0,0.0,1.52,0.0,95,5,62,33,62,33,22,8,1.0,1.0,7.0
6,6,6,462424,1,3,Arsenal,ARS,2,DEF,William,Saliba,Saliba,a,,,60,6.0,0,0,0,0,17.4,,,260320,56557,260320,56557,9,9,90,True,True,0,5.0,4.5,9.0,False,462424.jpg,9.0,False,False,,1.5,1.5,73.0,2019-07-25,2001-03-24,False,p462424,0,0,1,0,0,0,0,0,0,0,1,25,31.4,0.1,0.0,3.2,10,3,4,14,1,0.00,0.00,0.00,1.52,28,7,265,96,673,230,108,31,,,,,,,0.0,0.0,0.0,0.0,1.52,0.0,99,7,22,10,22,10,27,10,1.0,1.0,14.0
7,7,7,466075,1,3,Arsenal,ARS,2,DEF,Riccardo,Calafiori,Calafiori,a,,,55,5.5,0,0,0,0,4.0,,,219911,22412,219911,22412,13,13,71,True,True,1,4.3,3.8,13.0,True,466075.jpg,13.0,False,False,,2.4,2.4,106.0,2024-07-29,2002-05-19,False,p466075,1,0,1,0,0,0,0,1,0,0,2,33,36.2,2.1,35.0,7.3,3,5,1,4,1,0.91,0.01,0.92,0.87,18,4,165,49,13,2,25,5,,,,,,,1.15,0.0,0.01,1.16,1.1,0.0,178,25,3,2,3,2,83,31,1.27,1.27,5.07
8,8,8,445122,1,3,Arsenal,ARS,2,DEF,Jurriën,Timber,J.Timber,a,,,55,5.5,0,0,0,0,2.1,,,12390,33744,12390,33744,0,0,19,True,True,0,4.3,3.8,0.0,False,445122.jpg,0.0,False,False,,0.0,0.0,152.0,2023-07-14,2001-06-17,False,p445122,0,0,0,0,0,0,0,1,0,0,0,-3,3.0,0.3,0.0,0.3,1,1,2,3,0,0.00,0.00,0.00,0.66,233,91,250,90,643,222,277,96,,,,,,,0.0,0.0,0.0,0.0,3.13,0.0,174,23,652,224,652,224,124,48,0.0,0.0,14.21
9,9,9,440854,1,3,Arsenal,ARS,2,DEF,Jakub,Kiwior,Kiwior,a,,,55,5.5,0,0,0,0,0.1,,,347,1921,347,1921,0,0,0,True,True,0,4.3,3.8,0.0,False,440854.jpg,0.0,False,False,,0.0,0.0,172.0,2023-01-23,2000-02-15,False,p440854,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,644,228,652,226,641,221,654,227,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,170,21,650,223,650,223,465,177,0.0,0.0,0.0
10,10,10,499169,1,3,Arsenal,ARS,2,DEF,Myles,Lewis-Skelly,Lewis-Skelly,a,,,55,5.5,0,0,0,0,3.8,,,18083,66075,18083,66075,0,0,18,True,True,0,4.3,3.8,0.0,False,499169.jpg,0.0,False,False,,0.0,0.0,241.0,2022-12-04,2006-09-26,False,p499169,0,0,0,0,0,0,0,1,0,0,0,-1,0.2,0.0,0.0,0.0,1,0,0,1,0,0.00,0.00,0.00,0.66,269,97,660,228,651,225,662,229,,,,,,,0.0,0.0,0.0,0.0,3.3,0.0,189,27,659,226,659,226,85,32,0.0,0.0,5.0
11,11,11,198869,1,3,Arsenal,ARS,2,DEF,Benjamin,White,White,a,,,55,5.5,0,0,0,0,1.1,,,19888,7120,19888,7120,6,6,70,True,True,0,4.3,3.8,6.0,False,198869.jpg,6.0,False,False,,1.1,1.1,241.0,2021-07-30,1997-10-08,False,p198869,0,0,1,0,0,0,0,0,0,0,0,23,15.4,11.3,1.0,2.8,6,4,2,8,1,0.01,0.01,0.02,0.87,102,43,96,28,199,58,124,36,,,,,,,0.01,0.0,0.01,0.02,1.12,0.0,139,15,57,31,57,31,180,70,1.29,1.29,10.29
12,12,12,206325,1,3,Arsenal,ARS,2,DEF,Oleksandr,Zinchenko,Zinchenko,a,,,50,5.0,0,0,0,0,0.4,,,2885,6122,2885,6122,0,0,0,True,True,0,3.6,3.1,0.0,False,206325.jpg,0.0,False,False,,0.0,0.0,225.0,2022-07-22,1996-12-15,False,p206325,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,555,210,562,210,532,198,571,211,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,261,38,567,205,567,205,283,105,0.0,0.0,0.0
13,13,13,563324,1,3,Arsenal,ARS,2,DEF,Brayden,Clarke,Clarke,a,,,40,4.0,0,0,0,0,0.6,,,5815,7314,5815,7314,0,0,0,True,True,0,2.0,1.5,0.0,False,563324.jpg,0.0,False,False,,0.0,0.0,,,,False,p563324,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,366,150,363,150,304,119,384,152,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,677,213,377,140,377,140,230,84,0.0,0.0,0.0
14,14,14,588793,1,3,Arsenal,ARS,2,DEF,Maldini,Kacurri,Kacurri,a,,,40,4.0,0,0,0,0,0.2,,,1378,2468,1378,2468,0,0,0,True,True,0,2.0,1.5,0.0,False,588793.jpg,0.0,False,False,,0.0,0.0,,,,False,p588793,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,375,156,372,156,313,125,393,158,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,687,220,386,146,386,146,389,145,0.0,0.0,0.0
15,15,15,499167,1,3,Arsenal,ARS,2,DEF,Josh,Nichols,Nichols,a,,,40,4.0,0,0,0,0,0.2,,,1030,2084,1030,2084,0,0,0,True,True,0,2.0,1.5,0.0,False,499167.jpg,0.0,False,False,,0.0,0.0,241.0,2024-07-24,2006-07-26,False,p499167,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,343,132,340,132,280,100,361,134,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,652,193,354,122,354,122,385,142,0.0,0.0,0.0
16,16,16,223340,1,3,Arsenal,ARS,3,MID,Bukayo,Saka,Saka,a,,,100,10.0,0,0,0,0,17.1,,,123328,96833,123328,96833,3,3,90,True,True,0,4.0,3.5,3.0,False,223340.jpg,3.0,False,False,,0.3,0.3,241.0,2018-11-28,2001-09-05,False,p223340,0,0,1,0,0,0,0,0,0,0,0,7,12.0,16.4,7.0,3.5,0,2,3,5,1,0.15,0.09,0.24,1.52,137,50,58,43,106,61,102,56,1.0,,4.0,,1.0,,0.15,0.0,0.09,0.24,1.52,0.0,5,3,125,63,125,63,28,7,1.0,1.0,5.0
17,17,17,184029,1,3,Arsenal,ARS,3,MID,Martin,Ødegaard,Ødegaard,a,,,80,8.0,0,0,0,0,3.9,,,42021,31022,42021,31022,5,5,90,True,True,0,3.6,3.1,5.0,False,184029.jpg,5.0,False,False,,0.6,0.6,161.0,2021-08-20,1998-12-17,False,p184029,0,0,1,0,0,0,0,0,0,0,0,16,17.8,20.3,17.0,5.5,6,7,1,14,1,0.09,0.29,0.38,1.52,89,31,47,34,61,36,44,27,3.0,,2.0,,3.0,,0.09,0.0,0.29,0.38,1.52,0.0,13,8,78,25,78,25,84,27,1.0,1.0,14.0
18,18,18,248857,1,3,Arsenal,ARS,3,MID,Noni,Madueke,Madueke,a,,,70,7.0,0,0,0,0,1.0,,,3161,17521,3161,17521,1,1,30,True,True,0,3.3,2.8,1.0,False,248857.jpg,1.0,False,False,,0.1,0.1,241.0,2025-07-18,2002-03-10,False,p248857,0,0,0,0,0,0,0,0,0,0,0,2,1.6,10.7,2.0,1.4,0,0,0,0,0,0.00,0.02,0.02,0.82,254,119,106,69,191,108,216,101,,,,,,,0.0,0.0,0.06,0.06,2.46,0.0,38,25,272,141,272,141,186,60,0.0,0.0,0.0
