element,id,web_name,name,first_name,second_name,position,team,team_name,team_short,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,now_cost,price_m,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_next_round,chance_of_playing_this_round,birth_date,can_select,can_transact,clean_sheets_per_90,clearances_blocks_interceptions,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event_fall,cost_change_start_fall,creativity_rank,creativity_rank_type,defensive_contribution,defensive_contribution_per_90,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,expected_goals_per_90,form,form_rank,form_rank_type,goals_conceded_per_90,has_temporary_code,ict_index_rank,ict_index_rank_type,in_dreamteam,influence_rank,influence_rank_type,news,news_added,now_cost_rank,now_cost_rank_type,opta_code,penalties_order,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,recoveries,region,removed,saves_per_90,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,tackles,team_code,team_join_date,threat_rank,threat_rank_type,transfers_in,transfers_out,value_form,value_season
1,1,Raya,David Raya Martín,David,Raya Martín,GKP,1,Arsenal,ARS,90,10,0,0,1,0,0,0,0,1,0,7,3,38,49.2,0.0,0.0,4.9,0.0,0.0,0.0,1.52,55,5.5,0,0,248931,53007,20.8,a,,,1995-09-15,True,True,1.0,1,154561,,,0,0,634,81,0,0.0,,,1,1,5.0,4.5,10,0.0,0.0,1.52,0.0,10.0,9,1,0.0,False,60,1,True,9,1,,,130,3,p154561,,,154561.jpg,10.0,9,1,13,200.0,False,7.0,21,3,False,,1,1.0,0,3,2024-07-04,617,81,248931,53007,1.8,1.8
2,2,Arrizabalaga,Kepa Arrizabalaga Revuelta,Kepa,Arrizabalaga Revuelta,GKP,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,4.5,0,0,2032,11044,0.8,a,,,1994-10-03,True,True,0.0,0,109745,,,0,0,394,53,0,0.0,,,0,1,3.3,2.8,0,0.0,0.0,0.0,0.0,0.0,407,69,0.0,False,414,70,False,396,70,,,382,22,p109745,,,109745.jpg,0.0,407,69,0,200.0,False,0.0,196,27,False,,0,0.0,0,3,2025-07-01,339,52,2032,11044,0.0,0.0
3,3,Hein,Karl Hein,Karl,Hein,GKP,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,4.0,0,0,3590,4703,0.6,a,,,2002-04-13,True,True,0.0,0,463748,,,0,0,322,30,0,0.0,,,0,1,2.0,1.5,0,0.0,0.0,0.0,0.0,0.0,336,47,0.0,False,344,48,False,326,48,,,630,64,p463748,,,463748.jpg,0.0,336,47,0,67.0,False,0.0,227,32,False,,0,0.0,0,3,2020-10-28,261,29,3590,4703,0.0,0.0
4,4,Setford,Tommy Setford,Tommy,Setford,GKP,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,4.0,0,0,909,1380,0.2,a,,,2006-03-13,True,True,0.0,0,551221,,,0,0,360,44,0,0.0,,,0,1,2.0,1.5,0,0.0,0.0,0.0,0.0,0.0,374,61,0.0,False,381,62,False,363,62,,,674,78,p551221,,,551221.jpg,0.0,374,61,0,241.0,False,0.0,427,62,False,,0,0.0,0,3,2024-07-24,301,43,909,1380,0.0,0.0
5,5,Gabriel,Gabriel dos Santos Magalhães,Gabriel,dos Santos Magalhães,DEF,1,Arsenal,ARS,90,6,0,0,1,0,0,0,0,0,0,0,0,23,22.8,0.3,4.0,2.7,0.0,0.0,0.0,1.52,60,6.0,0,0,282561,73165,20.7,a,,,1997-12-19,True,True,1.0,6,226597,,,0,0,253,91,7,7.0,,,0,2,5.0,4.5,6,0.0,0.0,1.52,0.0,6.0,62,33,0.0,False,132,41,False,62,20,,,95,5,p226597,,,226597.jpg,6.0,62,33,1,30.0,False,0.0,22,8,False,,1,1.0,1,3,2020-09-01,140,38,282561,73165,1.0,1.0
6,6,Saliba,William Saliba,William,Saliba,DEF,1,Arsenal,ARS,90,9,0,0,1,0,0,0,0,0,0,0,1,25,31.4,0.1,0.0,3.2,0.0,0.0,0.0,1.52,60,6.0,0,0,266766,57409,17.4,a,,,2001-03-24,True,True,1.0,10,462424,,,0,0,265,96,14,14.0,,,0,2,5.0,4.5,9,0.0,0.0,1.52,0.0,9.0,22,10,0.0,False,108,31,False,28,7,,,99,7,p462424,,,462424.jpg,9.0,22,10,3,73.0,False,0.0,27,10,False,,1,1.0,4,3,2019-07-25,673,230,266766,57409,1.5,1.5
7,7,Calafiori,Riccardo Calafiori,Riccardo,Calafiori,DEF,1,Arsenal,ARS,71,13,1,0,1,0,0,0,0,1,0,0,2,33,36.2,2.1,35.0,7.3,0.91,0.01,0.92,0.87,55,5.5,0,0,226684,22887,4.1,a,,,2002-05-19,True,True,1.27,3,466075,,,0,0,165,49,4,5.07,,,1,2,4.3,3.8,13,0.01,1.16,1.1,1.15,13.0,3,2,0.0,False,25,5,True,18,4,,,178,25,p466075,,,466075.jpg,13.0,3,2,5,106.0,False,0.0,81,31,False,,1,1.27,1,3,2024-07-29,13,2,226684,22887,2.4,2.4
8,8,J.Timber,Jurriën Timber,Jurriën,Timber,DEF,1,Arsenal,ARS,19,0,0,0,0,0,0,0,0,1,0,0,0,-3,3.0,0.3,0.0,0.3,0.0,0.0,0.0,0.66,55,5.5,0,0,12575,34242,2.0,a,,,2001-06-17,True,True,0.0,1,445122,,,0,0,250,90,3,14.21,,,0,2,4.3,3.8,0,0.0,0.0,3.13,0.0,0.0,652,224,0.0,False,277,96,False,233,91,,,174,23,p445122,,,445122.jpg,0.0,652,224,1,152.0,False,0.0,124,48,False,,0,0.0,2,3,2023-07-14,643,222,12575,34242,0.0,0.0
9,9,Kiwior,Jakub Kiwior,Jakub,Kiwior,DEF,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,5.5,0,0,351,1947,0.1,a,,,2000-02-15,True,True,0.0,0,440854,,,0,0,652,226,0,0.0,,,0,2,4.3,3.8,0,0.0,0.0,0.0,0.0,0.0,650,223,0.0,False,654,227,False,644,228,,,170,21,p440854,,,440854.jpg,0.0,650,223,0,172.0,False,0.0,465,177,False,,0,0.0,0,3,2023-01-23,641,221,351,1947,0.0,0.0
10,10,Lewis-Skelly,Myles Lewis-Skelly,Myles,Lewis-Skelly,DEF,1,Arsenal,ARS,18,0,0,0,0,0,0,0,0,1,0,0,0,-1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.66,55,5.5,0,0,18210,66948,3.8,a,,,2006-09-26,True,True,0.0,1,499169,,,0,0,660,228,1,5.0,,,0,2,4.3,3.8,0,0.0,0.0,3.3,0.0,0.0,659,226,0.0,False,662,229,False,269,97,,,189,27,p499169,,,499169.jpg,0.0,659,226,0,241.0,False,0.0,85,32,False,,0,0.0,0,3,2022-12-04,651,225,18210,66948,0.0,0.0
