snapshot_time,snapshot_label,can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90
2025-09-14T05:32:14Z,morning,True,True,,,154561,0,0,0,0,1,1,6.0,6.5,6,David,6.0,1,False,,,55,154561.jpg,6.0,False,Raya Martín,23.5,False,,a,1,3,24,725812,12693,341020,5538,1.1,4.4,Raya,200.0,2024-07-04,1995-09-15,False,p154561,360,0,0,3,1,0,0,0,1,0,11,3,102,95.4,10.0,0.0,10.5,1,37,0,0,4,0.00,0.02,0.02,2.41,27,5,247,5,703,85,126,3,,,,,,,0.0,2.75,0.0,0.0,0.6,0.25,137,3,20,5,30,5,15,3,1.0,0.75,0.0
2025-09-14T05:32:14Z,morning,True,True,,,109745,0,0,-1,1,0,1,0.0,0.5,0,Kepa,0.0,2,False,,,44,109745.jpg,0.0,False,Arrizabalaga Revuelta,0.6,False,,a,1,3,0,4611,79,33530,676,0.0,0.0,Arrizabalaga,200.0,2025-07-01,1994-10-03,False,p109745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,501,72,488,57,444,51,505,72,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,531,33,509,72,509,72,218,31,0.0,0.0,0.0
2025-09-14T05:32:14Z,morning,True,False,0.0,0.0,463748,0,0,0,0,0,1,0.0,0.0,0,Karl,0.0,3,False,Has joined Werder Bremen on loan for the rest of the season.,2025-08-26T13:44:02.357864Z,40,463748.jpg,0.0,False,Hein,0.4,False,,u,1,3,0,5545,0,22647,386,0.0,0.0,Hein,67.0,2020-10-28,2002-04-13,False,p463748,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,437,51,423,36,377,30,441,51,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,663,68,447,51,447,51,259,36,0.0,0.0,0.0
2025-09-14T05:32:14Z,morning,True,True,,,551221,0,0,0,0,0,1,0.0,0.5,0,Tommy,0.0,4,False,,,40,551221.jpg,0.0,False,Setford,0.2,False,,a,1,3,0,7282,216,5695,131,0.0,0.0,Setford,241.0,2024-07-24,2006-03-13,False,p551221,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,473,65,459,50,415,44,477,65,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,707,82,483,65,483,65,360,54,0.0,0.0,0.0
2025-09-14T05:32:14Z,morning,True,True,,,226597,0,0,1,-1,0,2,5.8,6.3,9,Gabriel,5.8,5,False,,,61,226597.jpg,5.8,False,dos Santos Magalhães,21.7,False,,a,1,3,23,723064,19024,392261,4948,1.0,3.8,Gabriel,30.0,2020-09-01,1997-12-19,False,p226597,360,0,0,3,1,0,0,0,0,0,0,1,89,79.4,6.3,21.0,10.7,23,10,4,27,4,0.26,0.03,0.29,2.41,56,22,269,85,144,29,123,38,,,,,,,0.06,0.0,0.01,0.07,0.6,0.25,84,3,29,14,40,18,17,5,1.0,0.75,6.75
2025-09-14T05:32:14Z,morning,True,True,75.0,75.0,462424,-1,1,0,0,0,2,3.0,3.4,0,William,4.0,6,False,Ankle injury - 75% chance of playing,2025-09-01T10:30:07.602868Z,60,462424.jpg,5.3,False,Saliba,13.9,False,,d,1,3,16,471001,355,709332,37123,0.7,2.7,Saliba,73.0,2019-07-25,2001-03-24,False,p462424,184,0,0,2,0,0,0,0,0,0,0,1,56,52.8,2.2,2.0,5.8,18,7,4,22,3,0.00,0.01,0.01,1.69,114,52,313,108,308,103,217,73,,,,,,,0.0,0.0,0.0,0.0,0.83,0.0,90,5,74,33,46,22,29,8,1.47,0.98,10.76
2025-09-14T05:32:14Z,morning,True,True,,,466075,0,0,2,-2,2,2,8.2,8.7,5,Riccardo,8.2,7,True,,,57,466075.jpg,8.2,False,Calafiori,13.3,False,,a,1,3,33,1265916,27009,173968,4599,1.4,5.8,Calafiori,106.0,2024-07-29,2002-05-19,False,p466075,291,1,2,3,1,0,0,0,2,0,0,3,96,89.6,38.0,68.0,19.5,10,10,5,15,4,1.43,0.04,1.47,1.66,41,15,90,19,33,2,34,3,,,,,,,0.44,0.0,0.01,0.45,0.51,0.31,125,11,4,2,6,4,32,11,1.24,0.93,4.64
2025-09-14T05:32:14Z,morning,True,True,,,445122,0,0,2,-2,1,2,8.5,9.0,8,Jurriën,8.5,8,True,,,57,445122.jpg,8.5,False,Timber,10.6,False,,a,1,3,34,932255,27849,170781,3257,1.5,6.0,J.Timber,152.0,2023-07-14,2001-06-17,False,p445122,262,2,1,2,1,0,0,0,1,0,0,5,109,130.2,54.2,121.0,30.6,12,8,10,22,3,1.20,0.12,1.32,1.55,3,1,59,12,4,1,5,1,,,,,,,0.41,0.0,0.04,0.45,0.53,0.34,124,10,3,1,5,3,41,14,1.03,0.69,7.56
2025-09-14T05:32:14Z,morning,True,False,0.0,0.0,440854,0,0,-1,1,0,2,0.0,0.0,0,Jakub,0.0,9,False,has joined Porto on loan for the rest of the season.,2025-09-02T13:37:25.929594Z,54,440854.jpg,0.0,False,Kiwior,0.1,False,,u,1,3,0,1119,0,7720,234,0.0,0.0,Kiwior,172.0,2023-01-23,2000-02-15,False,p440854,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,702,242,702,242,690,236,703,242,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,200,26,704,241,704,241,512,189,0.0,0.0,0.0
2025-09-14T05:32:14Z,morning,True,True,,,499169,-1,1,-2,2,0,2,0.5,1.0,1,Myles,0.5,10,False,,,53,499169.jpg,0.7,False,Lewis-Skelly,2.5,False,,a,1,3,2,31674,388,230243,4023,0.1,0.4,Lewis-Skelly,241.0,2022-12-04,2006-09-26,False,p499169,66,0,0,0,0,0,0,0,1,0,0,0,9,4.4,5.7,0.0,0.9,1,4,1,2,0,0.00,0.00,0.00,0.76,340,125,276,88,680,234,352,121,,,,,,,0.0,0.0,0.0,0.0,1.04,0.0,231,32,345,117,385,131,112,46,0.0,0.0,2.73
2025-09-14T05:32:14Z,morning,True,True,100.0,100.0,198869,0,0,-1,1,0,2,1.5,2.0,0,Benjamin,1.5,11,False,,2025-08-22T13:47:03.754043Z,54,198869.jpg,6.0,False,White,0.5,False,,a,1,3,6,22951,207,63787,584,0.3,1.1,White,241.0,2021-07-30,1997-10-08,False,p198869,70,0,0,1,0,0,0,0,0,0,0,0,23,15.4,11.3,1.0,2.8,6,4,2,8,1,0.01,0.01,0.02,0.87,263,99,234,74,314,105,313,104,,,,,,,0.01,0.0,0.01,0.02,1.12,0.0,185,24,237,82,28,13,233,85,1.29,1.29,10.29
2025-09-14T05:32:14Z,morning,True,True,,,563324,0,0,0,0,0,2,0.0,0.5,0,Brayden,0.0,13,False,,,40,563324.jpg,0.0,False,Clarke,0.5,False,,a,1,3,0,15089,189,25196,482,0.0,0.0,Clarke,,,,False,p563324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,476,190,462,188,418,164,480,190,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,710,220,486,188,486,188,235,87,0.0,0.0,0.0
2025-09-14T05:32:14Z,morning,True,True,,,588793,0,0,0,0,0,2,0.0,0.5,0,Maldini,0.0,14,False,,,40,588793.jpg,0.0,False,Kacurri,0.2,False,,a,1,3,0,3290,49,7646,141,0.0,0.0,Kacurri,,,,False,p588793,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,487,197,473,195,429,171,491,197,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,722,228,496,194,496,194,389,142,0.0,0.0,0.0
2025-09-14T05:32:14Z,morning,True,True,,,499167,0,0,0,0,0,2,0.0,0.5,0,Josh,0.0,15,False,,,40,499167.jpg,0.0,False,Nichols,0.2,False,,a,1,3,0,2774,37,7210,160,0.0,0.0,Nichols,241.0,2024-07-24,2006-07-26,False,p499167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,454,173,440,171,395,146,458,173,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,685,200,464,171,464,171,381,139,0.0,0.0,0.0
2025-09-14T05:32:14Z,morning,True,True,0.0,0.0,223340,0,0,-2,2,0,3,0.0,0.0,0,Bukayo,2.2,16,False,Hamstring injury - Unknown return date,2025-08-23T22:30:05.759392Z,98,223340.jpg,4.5,False,Saka,4.3,False,,i,1,3,9,212683,226,1537748,14297,0.2,0.9,Saka,241.0,2018-11-28,2001-09-05,False,p223340,142,1,0,1,0,0,0,0,0,0,0,0,34,52.4,46.8,28.0,12.7,0,6,3,9,2,0.26,0.12,0.38,1.69,116,39,75,54,110,66,99,56,1.0,,4.0,,1.0,,0.16,0.0,0.08,0.24,1.07,0.0,5,3,176,78,79,31,86,28,1.27,0.63,5.7
2025-09-14T05:32:14Z,morning,True,True,75.0,100.0,184029,0,0,-1,1,0,3,1.5,2.5,1,Martin,2.0,17,False,Shoulder injury - 75% chance of playing,2025-09-13T21:30:07.910212Z,79,184029.jpg,2.0,False,Ødegaard,2.7,False,,d,1,3,8,101595,1710,229040,5894,0.3,1.0,Ødegaard,161.0,2021-08-20,1998-12-17,False,p184029,164,0,0,1,1,0,0,0,0,0,0,0,27,20.8,29.1,22.0,7.2,6,9,2,17,3,0.14,0.35,0.49,1.94,239,107,112,78,135,78,188,93,3.0,,2.0,,3.0,,0.08,0.0,0.19,0.27,1.06,0.55,17,12,200,93,243,120,107,36,1.65,0.55,9.33
2025-09-14T05:32:14Z,morning,True,True,,,248857,0,0,0,0,0,3,2.2,2.7,3,Noni,2.2,18,False,,,70,248857.jpg,2.2,False,Madueke,1.5,False,,a,1,3,9,94882,6049,57439,1498,0.3,1.3,Madueke,241.0,2025-07-18,2002-03-10,False,p248857,259,0,0,2,1,0,0,0,0,0,0,0,41,28.8,110.0,74.0,21.2,1,8,3,12,3,0.14,0.85,0.99,1.49,206,85,11,9,29,16,27,20,,,,,,,0.05,0.0,0.3,0.35,0.52,0.35,37,23,174,76,214,101,150,49,1.04,0.69,4.17
2025-09-14T05:32:14Z,morning,True,True,,,444145,0,0,-1,1,0,3,1.2,1.7,1,Gabriel,1.2,19,False,,,69,444145.jpg,1.7,False,Martinelli Silva,1.0,False,,a,1,3,5,19902,240,69899,1593,0.2,0.7,Martinelli,30.0,2019-07-15,2001-06-18,False,p444145,140,0,0,1,0,0,0,0,0,0,0,0,21,9.6,15.0,27.0,5.2,0,6,2,8,2,0.02,0.01,0.03,1.08,294,140,198,124,116,68,237,117,,,,,,,0.01,0.0,0.01,0.02,0.69,0.0,45,29,262,131,262,130,181,59,1.29,0.64,5.14
2025-09-14T05:32:14Z,morning,True,True,100.0,100.0,116216,0,0,-1,1,0,3,1.2,1.7,4,Leandro,1.2,20,False,,2025-08-29T18:30:07.885490Z,69,116216.jpg,2.5,False,Trossard,0.3,False,,a,1,3,5,3323,143,17870,181,0.2,0.7,Trossard,21.0,2023-01-20,1994-12-04,False,p116216,48,0,1,0,0,0,0,0,0,0,0,0,16,22.6,32.0,8.0,6.3,0,0,0,0,0,0.07,0.29,0.36,0.10,232,102,102,72,233,134,207,104,,,,,4.0,,0.13,0.0,0.54,0.67,0.19,0.0,43,27,261,130,190,87,317,106,0.0,0.0,0.0
2025-09-14T05:32:14Z,morning,True,True,,,204480,0,0,0,0,0,3,4.2,4.7,1,Declan,4.2,21,False,,,65,204480.jpg,4.2,False,Rice,9.2,False,,a,1,3,17,325120,3652,246001,12929,0.6,2.6,Rice,241.0,2023-07-15,1999-01-14,False,p204480,284,0,2,2,1,0,0,0,0,0,0,0,54,44.4,75.3,15.0,13.5,7,15,1,23,3,0.15,0.68,0.83,1.83,140,47,29,25,183,111,89,52,2.0,,1.0,,,,0.05,0.0,0.22,0.27,0.58,0.32,53,36,62,20,85,34,47,14,0.95,0.63,7.29
2025-09-14T05:32:14Z,morning,True,True,,,195384,0,0,-1,1,0,3,1.8,2.3,3,Mikel,1.8,22,False,,,59,195384.jpg,2.3,False,Merino Zazón,0.5,False,,a,1,3,7,21249,1706,43803,655,0.3,1.2,Merino,200.0,2024-08-27,1996-06-22,False,p195384,166,0,0,2,0,0,0,0,0,0,0,0,23,18.8,17.7,33.0,7.0,3,10,3,16,2,0.13,0.09,0.22,0.97,249,112,177,116,93,55,195,97,,,,,,,0.07,0.0,0.05,0.12,0.53,0.0,105,70,219,103,199,93,247,84,1.08,1.08,8.67
2025-09-14T05:32:14Z,morning,True,False,0.0,0.0,438098,0,0,-1,1,0,3,0.0,0.0,0,Fábio,0.0,23,False,has joined Hamburger on loan for the rest of the season.,2025-09-02T13:38:06.128321Z,54,438098.jpg,0.0,False,Ferreira Vieira,0.0,False,,u,1,3,0,933,0,3118,100,0.0,0.0,Fábio Vieira,173.0,2022-06-21,2000-05-30,False,p438098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,700,304,700,305,688,302,701,305,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,198,125,702,306,702,306,618,252,0.0,0.0,0.0
2025-09-14T05:32:14Z,morning,True,True,100.0,100.0,128295,0,0,-1,1,0,3,0.0,0.5,0,Christian,0.0,24,False,,2025-08-18T08:00:05.297235Z,54,128295.jpg,0.0,False,Nørgaard,0.2,False,,a,1,3,0,1440,45,45198,258,0.0,0.0,Nørgaard,58.0,2025-07-10,1994-03-10,False,p128295,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,695,301,695,302,682,298,696,302,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,179,110,697,303,697,303,362,122,0.0,0.0,0.0
2025-09-14T05:32:14Z,morning,True,True,,,499175,0,0,-1,1,0,3,1.0,1.5,3,Ethan,1.0,25,False,,,54,499175.jpg,2.0,False,Nwaneri,0.2,False,,a,1,3,4,5234,108,17488,230,0.2,0.7,Nwaneri,241.0,2022-09-17,2007-03-21,False,p499175,124,0,0,1,0,0,0,0,0,0,0,0,11,8.0,17.6,20.0,4.5,1,6,1,8,0,0.17,0.04,0.21,0.20,307,148,178,117,151,91,258,128,4.0,,3.0,,,,0.12,0.0,0.03,0.15,0.15,0.0,209,131,278,139,233,113,365,123,0.0,0.73,5.81
2025-09-14T05:32:14Z,morning,True,True,,,481655,0,0,-1,1,1,3,6.2,6.7,16,Martín,6.2,26,True,,,54,481655.jpg,6.2,False,Zubimendi Ibáñez,2.1,False,,a,1,3,25,96600,28292,120575,1386,1.1,4.6,Zubimendi,200.0,2025-07-06,1999-02-02,False,p481655,360,2,0,3,1,0,0,0,1,0,0,3,83,91.4,25.9,33.0,15.0,7,16,6,29,4,0.21,0.08,0.29,2.41,37,14,130,90,91,53,68,40,,,,,,,0.05,0.0,0.02,0.07,0.6,0.25,205,129,18,4,26,7,121,40,1.0,0.75,7.25
2025-09-14T05:32:14Z,morning,True,False,0.0,0.0,588796,0,0,0,0,0,3,0.0,0.0,0,Ismeal,0.0,28,False,has joined Shrewsbury Town on loan for the rest of the season.,2025-09-02T13:24:41.013511Z,45,588796.jpg,0.0,False,Kabia,0.2,False,,u,1,3,0,6731,0,17875,469,0.0,0.0,Kabia,152.0,2024-09-14,2005-12-10,False,p588796,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,616,246,611,249,582,238,619,249,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,503,294,624,256,624,256,347,117,0.0,0.0,0.0
2025-09-14T05:32:14Z,morning,True,False,0.0,0.0,437742,0,0,0,0,0,3,0.0,0.0,0,Albert,0.0,29,False,has joined Hamburger permanently.,2025-09-02T13:40:53.094922Z,45,437742.jpg,0.0,False,Sambi Lokonga,0.1,False,,u,1,3,0,2952,0,8592,273,0.0,0.0,Sambi,21.0,2021-07-19,1999-10-22,False,p437742,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,566,205,558,208,528,197,570,208,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,433,249,573,215,573,215,485,164,0.0,0.0,0.0
2025-09-14T05:32:14Z,morning,True,True,0.0,0.0,219847,0,0,-1,1,0,4,0.0,0.0,0,Kai,0.2,30,False,Knee injury - Unknown return date,2025-08-20T13:00:06.498911Z,74,219847.jpg,1.0,False,Havertz,0.4,False,,i,1,3,1,8264,15,97966,532,0.0,0.1,Havertz,80.0,2023-06-28,1999-06-11,False,p219847,30,0,0,0,0,0,0,0,0,0,0,0,4,2.8,0.8,2.0,0.6,1,2,0,3,0,0.00,0.01,0.01,0.82,354,32,339,38,310,40,364,39,,,,,,,0.0,0.0,0.03,0.03,2.46,0.0,27,11,389,43,379,42,262,44,0.0,0.0,9.0
2025-09-14T05:32:14Z,morning,True,True,0.0,0.0,205651,0,0,0,0,0,4,0.0,0.0,0,Gabriel,0.0,31,False,Knee injury - Expected back 30 Dec,2025-07-21T10:00:04.697564Z,65,205651.jpg,0.0,False,Fernando de Jesus,0.0,False,,i,1,3,0,592,9,2435,43,0.0,0.0,G.Jesus,30.0,2022-07-04,1997-04-03,False,p205651,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,728,76,728,76,728,76,728,76,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,54,18,728,76,728,76,597,72,0.0,0.0,0.0
2025-09-14T05:32:14Z,morning,True,True,,,232413,0,0,0,0,0,3,2.5,3.0,6,Eberechi,2.5,266,False,,,75,232413.jpg,3.3,False,Eze,11.9,False,,a,1,3,10,669714,22881,547879,5362,0.3,1.3,Eze,241.0,2025-08-23,1998-06-29,False,p232413,181,0,1,2,1,0,0,0,0,0,0,0,33,29.2,18.8,39.0,8.8,1,8,1,10,2,0.30,0.47,0.77,1.57,204,84,169,111,80,47,160,81,1.0,,1.0,,1.0,,0.15,0.0,0.23,0.38,0.78,0.5,25,15,150,63,141,55,37,12,0.99,0.99,4.97
