id,web_name,team,position,now_cost,ownership,NTI_1h,NTI_24h,forecast,risk,eta_window
1,Raya,1,1,55,20.8,0,195924,stable,0.0,estimation
2,Arrizabalaga,1,1,45,0.8,0,-9012,stable,0.0,estimation
3,Hein,1,1,40,0.6,0,-1113,stable,0.0,estimation
4,Setford,1,1,40,0.2,0,-471,stable,0.0,estimation
5,Gabriel,1,2,60,20.7,0,209396,stable,0.0,estimation
6,Saliba,1,2,60,17.4,0,209357,stable,0.0,estimation
7,Calafiori,1,2,55,4.1,0,203797,stable,0.0,estimation
8,J.Timber,1,2,55,2.0,0,-21667,-0.1,1.0,estimation
9,Kiwior,1,2,55,0.1,0,-1596,stable,0.0,estimation
10,Lewis-Skelly,1,2,55,3.8,0,-48738,-0.1,1.0,estimation
11,White,1,2,55,1.1,0,13167,stable,0.0,estimation
12,Zinchenko,1,2,50,0.4,0,-3274,stable,0.0,estimation
13,Clarke,1,2,40,0.6,0,-1551,stable,0.0,estimation
14,Kacurri,1,2,40,0.2,0,-1109,stable,0.0,estimation
15,Nichols,1,2,40,0.2,0,-1072,stable,0.0,estimation
16,Saka,1,3,100,17.1,0,28345,stable,0.0,estimation
17,Ødegaard,1,3,80,3.9,0,11392,stable,0.0,estimation
18,Madueke,1,3,70,1.0,0,-14592,stable,0.0,estimation
19,Martinelli,1,3,70,1.4,0,-8731,stable,0.0,estimation
20,Trossard,1,3,70,0.3,0,-5886,stable,0.0,estimation
21,Rice,1,3,65,8.3,0,18304,stable,0.0,estimation
22,Merino,1,3,60,0.6,0,-11440,stable,0.0,estimation
23,Fábio Vieira,1,3,55,0.0,0,-462,stable,0.0,estimation
24,Nørgaard,1,3,55,0.5,0,-16657,-0.1,1.0,estimation
25,Nwaneri,1,3,55,0.3,0,-4930,stable,0.0,estimation
26,Zubimendi,1,3,55,2.3,0,2470,stable,0.0,estimation
27,Nelson,1,3,50,0.1,0,-1286,stable,0.0,estimation
28,Kabia,1,3,45,0.3,0,-1431,stable,0.0,estimation
29,Sambi,1,3,45,0.1,0,-727,stable,0.0,estimation
30,Havertz,1,4,75,1.0,0,-28404,-0.1,1.0,estimation
31,G.Jesus,1,4,65,0.0,0,-752,stable,0.0,estimation
662,Mosquera,1,2,55,0.1,0,-1696,stable,0.0,estimation
666,Gyökeres,1,4,90,24.8,0,-69855,stable,0.0,estimation
32,Martinez,2,1,50,1.1,0,13275,stable,0.0,estimation
33,M.Bizot,2,1,45,0.9,0,33325,stable,0.0,estimation
34,Gauci,2,1,40,0.2,0,-3741,stable,0.0,estimation
35,Marschall,2,1,40,0.0,0,-315,stable,0.0,estimation
36,Cash,2,2,45,4.7,0,205674,stable,0.0,estimation
37,Digne,2,2,45,2.3,0,35910,stable,0.0,estimation
38,Konsa,2,2,45,16.5,0,-463301,-0.1,1.0,estimation
39,Maatsen,2,2,45,0.8,0,-10577,stable,0.0,estimation
40,Mings,2,2,45,1.3,0,31450,stable,0.0,estimation
41,Pau,2,2,45,0.5,0,-3654,stable,0.0,estimation
42,A.García,2,2,40,0.3,0,-4521,stable,0.0,estimation
43,Alex Moreno,2,2,40,9.2,0,-51349,stable,0.0,estimation
44,Bogarde,2,2,40,0.3,0,-1348,stable,0.0,estimation
45,Sousa,2,2,40,0.4,0,-1117,stable,0.0,estimation
46,Yasin,2,2,40,0.2,0,-1120,stable,0.0,estimation
47,Rogers,2,3,70,9.7,0,-19196,stable,0.0,estimation
48,Tielemans,2,3,60,2.1,0,-16035,-0.1,1.0,estimation
49,Bailey,2,3,55,0.4,0,-16156,-0.1,1.0,estimation
50,Buendía,2,3,54,0.1,0,-4386,stable,0.0,estimation
51,Iling Jr,2,3,55,0.0,0,-362,stable,0.0,estimation
53,Malen,2,3,54,1.5,0,-38991,-0.1,1.0,estimation
54,McGinn,2,3,55,0.7,0,-1632,stable,0.0,estimation
55,Barkley,2,3,50,0.1,0,-2643,stable,0.0,estimation
56,Barrenechea,2,3,50,0.0,0,-10,stable,0.0,estimation
57,Dobbin,2,3,50,0.1,0,-496,stable,0.0,estimation
58,Kamara,2,3,50,0.2,0,-462,stable,0.0,estimation
59,Onana,2,3,50,1.9,0,14992,stable,0.0,estimation
60,Broggio,2,3,45,0.3,0,-1003,stable,0.0,estimation
61,Dendoncker,2,3,45,0.3,0,-4513,stable,0.0,estimation
62,Jimoh-Aloba,2,3,45,0.1,0,-259,stable,0.0,estimation
63,Young,2,3,45,0.7,0,-3179,stable,0.0,estimation
64,Watkins,2,4,90,25.3,0,-130909,stable,0.0,estimation
65,Redmond,2,4,45,0.9,0,-1324,stable,0.0,estimation
677,Guessand,2,3,65,0.1,0,-1467,stable,0.0,estimation
688,Wright,2,1,40,0.5,0,10012,stable,0.0,estimation
183,Weiss,3,1,45,0.2,0,-1309,stable,0.0,estimation
184,Green,3,1,40,0.4,0,-63,stable,0.0,estimation
185,Hladký,3,1,40,0.2,0,-591,stable,0.0,estimation
186,Roberts,3,2,45,0.1,0,-899,stable,0.0,estimation
187,Walker,3,2,45,1.9,0,-3630,stable,0.0,estimation
188,Delcroix,3,2,40,0.3,0,-1933,stable,0.0,estimation
189,Dodgson,3,2,40,0.0,0,-814,stable,0.0,estimation
190,Ekdal,3,2,40,0.3,0,2106,stable,0.0,estimation
191,Estève,3,2,40,19.5,0,-217,stable,0.0,estimation
192,Hartman,3,2,40,0.6,0,2025,stable,0.0,estimation
193,Humphreys,3,2,40,0.1,0,-874,stable,0.0,estimation
194,Jordan,3,2,40,0.2,0,-1215,stable,0.0,estimation
195,Lucas Pires,3,2,40,0.2,0,-1321,stable,0.0,estimation
196,Sambo,3,2,40,0.1,0,-1861,stable,0.0,estimation
197,Sonne,3,2,40,0.2,0,114,stable,0.0,estimation
198,Tuanzebe,3,2,40,2.3,0,-17070,-0.1,1.0,estimation
199,Worrall,3,2,40,0.1,0,-1060,stable,0.0,estimation
200,Anthony,3,3,55,0.1,0,330,stable,0.0,estimation
201,Benson,3,3,55,0.0,0,-335,stable,0.0,estimation
202,Bruun Larsen,3,3,55,0.0,0,-558,stable,0.0,estimation
203,Boateng,3,3,50,0.1,0,-657,stable,0.0,estimation
204,Churlinov,3,3,50,0.0,0,-326,stable,0.0,estimation
205,Cullen,3,3,50,0.1,0,2078,stable,0.0,estimation
206,Edwards,3,3,50,0.1,0,-1168,stable,0.0,estimation
207,Hannibal,3,3,50,0.1,0,-963,stable,0.0,estimation
208,Koleosho,3,3,50,0.0,0,-524,stable,0.0,estimation
209,Laurent,3,3,50,0.0,0,-169,stable,0.0,estimation
210,Tchaouna,3,3,50,0.0,0,-304,stable,0.0,estimation
211,A.Ramsey,3,3,45,9.0,0,-63500,stable,0.0,estimation
212,Adewumi,3,3,45,0.0,0,-995,stable,0.0,estimation
213,Banel,3,3,45,0.0,0,-280,stable,0.0,estimation
214,Trésor,3,3,45,0.1,0,-560,stable,0.0,estimation
215,Flemming,3,4,55,0.2,0,-1206,stable,0.0,estimation
216,Amdouni,3,4,50,0.0,0,-1711,stable,0.0,estimation
217,Foster,3,4,50,0.5,0,11085,stable,0.0,estimation
218,Barnes,3,4,45,2.3,0,-13561,stable,0.0,estimation
219,Obafemi,3,4,45,0.4,0,-2337,stable,0.0,estimation
470,Dúbravka,3,1,40,34.6,0,91874,stable,0.0,estimation
676,Ugochukwu,3,3,50,0.0,0,-315,stable,0.0,estimation
680,Broja,3,4,55,0.2,0,-1573,stable,0.0,estimation
66,Neto,4,1,45,0.2,0,-5813,stable,0.0,estimation
67,Petrović,4,1,45,3.6,0,29948,stable,0.0,estimation
68,Dennis,4,1,40,1.1,0,2607,stable,0.0,estimation
69,McKenna,4,1,40,0.2,0,-35,stable,0.0,estimation
70,Paulsen,4,1,40,0.1,0,-37,stable,0.0,estimation
71,Zabarnyi,4,2,50,0.1,0,-4701,stable,0.0,estimation
72,Senesi,4,2,45,1.3,0,34854,stable,0.0,estimation
73,Smith,4,2,45,0.4,0,6831,stable,0.0,estimation
74,Truffert,4,2,45,1.0,0,24924,stable,0.0,estimation
75,Akinmboni,4,2,40,0.3,0,-777,stable,0.0,estimation
76,Bevan,4,2,40,0.2,0,-972,stable,0.0,estimation
77,Hill,4,2,40,0.8,0,2939,stable,0.0,estimation
78,J.Araujo,4,2,40,1.3,0,-4728,stable,0.0,estimation
79,Mepham,4,2,40,0.2,0,-1129,stable,0.0,estimation
80,Soler,4,2,40,0.3,0,-1222,stable,0.0,estimation
81,Kluivert,4,3,70,0.6,0,-34152,-0.1,1.0,estimation
82,Semenyo,4,3,71,15.2,0,745994,+0.1,1.0,estimation
84,Tavernier,4,3,55,0.6,0,13449,stable,0.0,estimation
85,Adams,4,3,50,0.3,0,2735,stable,0.0,estimation
86,Brooks,4,3,50,0.2,0,7461,stable,0.0,estimation
87,Christie,4,3,50,0.1,0,-2230,stable,0.0,estimation
88,Cook,4,3,50,0.0,0,-259,stable,0.0,estimation
89,Philip,4,3,50,0.1,0,-946,stable,0.0,estimation
90,Scott,4,3,50,0.1,0,17,stable,0.0,estimation
91,Sinisterra,4,3,50,0.0,0,-1078,stable,0.0,estimation
92,Faivre,4,3,45,0.2,0,-1082,stable,0.0,estimation
93,H.Traorè,4,3,45,1.2,0,54323,stable,0.0,estimation
94,Sadi,4,3,45,0.1,0,-329,stable,0.0,estimation
95,Silcott-Duberry,4,3,45,0.1,0,-726,stable,0.0,estimation
