id,web_name,team,position,now_cost,ownership,NTI_1h,NTI_24h,momentum,status,price_freeze,forecast,risk_up,risk_down,eta_window
1,Raya,1,1,55,23.4,-1190.0,-1651.0,down,a,0,stable,0.0,0.0,48h+
2,Arrizabalaga,1,1,44,0.6,-373.0,-756.0,down,a,0,stable,0.0,0.0,48h+
3,Hein,1,1,40,0.4,-260.0,-490.0,down,u,1,stable,0.0,0.0,48h+
4,Setford,1,1,40,0.2,143.0,232.0,up,a,0,stable,0.0,0.0,48h+
5,Gabriel,1,2,61,22.0,218.0,2813.0,up,a,0,stable,0.0,0.0,48h+
6,Saliba,1,2,60,12.6,-5113.0,-19736.0,down,a,0,stable,0.0,0.0,48h+
7,Calafiori,1,2,57,13.7,1854.0,4617.0,up,a,0,stable,0.0,0.0,48h+
8,J.Timber,1,2,57,12.0,16020.0,31526.0,up,a,0,stable,0.0,0.0,48h+
9,Kiwior,1,2,54,0.1,-79.0,-163.0,down,u,1,stable,0.0,0.0,48h+
10,Lewis-Skelly,1,2,53,2.3,-2235.0,-4139.0,down,a,0,stable,0.0,0.0,48h+
11,White,1,2,54,0.5,-689.0,-918.0,down,d,1,stable,0.0,0.0,48h+
13,Clarke,1,2,40,0.5,-149.0,-354.0,down,a,0,stable,0.0,0.0,48h+
14,Kacurri,1,2,39,0.2,410.0,817.0,up,a,0,stable,0.0,0.0,48h+
15,Nichols,1,2,39,0.2,-32.0,-94.0,down,a,0,stable,0.0,0.0,48h+
16,Saka,1,3,98,3.8,-6868.0,-12465.0,down,i,1,stable,0.0,0.0,48h+
17,Ødegaard,1,3,79,2.3,-5092.0,-9087.0,down,d,1,stable,0.0,0.0,48h+
18,Madueke,1,3,70,1.7,1333.0,3236.0,up,a,0,stable,0.0,0.0,48h+
19,Martinelli,1,3,69,1.0,-497.0,-779.0,down,a,0,stable,0.0,0.0,48h+
20,Trossard,1,3,69,0.3,-4.0,23.0,down,a,0,stable,0.0,0.0,48h+
21,Rice,1,3,65,8.8,-6530.0,-11120.0,down,a,0,stable,0.0,0.0,48h+
22,Merino,1,3,59,0.5,302.0,597.0,up,a,0,stable,0.0,0.0,48h+
23,Fábio Vieira,1,3,54,0.0,-24.0,-51.0,down,u,1,stable,0.0,0.0,48h+
24,Nørgaard,1,3,54,0.2,-144.0,-252.0,down,a,0,stable,0.0,0.0,48h+
25,Nwaneri,1,3,53,0.2,-53.0,-75.0,down,a,0,stable,0.0,0.0,48h+
26,Zubimendi,1,3,54,3.2,13766.0,25049.0,up,a,0,stable,0.0,0.0,48h+
28,Kabia,1,3,45,0.2,-199.0,-419.0,down,u,1,stable,0.0,0.0,48h+
29,Sambi,1,3,45,0.1,-104.0,-216.0,down,u,1,stable,0.0,0.0,48h+
30,Havertz,1,4,74,0.4,-295.0,-569.0,down,i,1,stable,0.0,0.0,48h+
31,G.Jesus,1,4,65,0.0,-15.0,-27.0,down,i,1,stable,0.0,0.0,48h+
266,Eze,1,3,75,12.2,-1853.0,-2972.0,down,a,0,stable,0.0,0.0,48h+
662,Mosquera,1,2,54,0.2,496.0,1104.0,up,a,0,stable,0.0,0.0,48h+
666,Gyökeres,1,4,90,25.5,-208.0,-572.0,down,a,0,stable,0.0,0.0,48h+
700,Dowman,1,3,45,0.4,228.0,345.0,up,a,0,stable,0.0,0.0,48h+
711,Harriman-Annous,1,3,45,0.0,5.0,7.0,up,a,0,stable,0.0,0.0,48h+
725,Hincapie,1,2,55,0.0,10.0,6.0,up,a,0,stable,0.0,0.0,48h+
32,Martinez,2,1,50,2.0,2360.0,4047.0,up,a,0,stable,0.0,0.0,48h+
33,M.Bizot,2,1,45,0.7,-659.0,-1143.0,down,a,0,stable,0.0,0.0,48h+
34,Gauci,2,1,40,0.2,-78.0,-148.0,down,u,1,stable,0.0,0.0,48h+
35,Marschall,2,1,40,0.0,-5.0,-9.0,down,u,1,stable,0.0,0.0,48h+
36,Cash,2,2,45,4.9,563.0,528.0,up,a,0,stable,0.0,0.0,48h+
37,Digne,2,2,45,2.0,-169.0,-396.0,down,a,0,stable,0.0,0.0,48h+
38,Konsa,2,2,45,12.8,-1438.0,-2734.0,down,a,0,stable,0.0,0.0,48h+
39,Maatsen,2,2,44,0.6,-359.0,-624.0,down,a,0,stable,0.0,0.0,48h+
40,Mings,2,2,45,1.4,2087.0,3320.0,up,a,0,stable,0.0,0.0,48h+
41,Pau,2,2,44,0.4,-217.0,-414.0,down,a,0,stable,0.0,0.0,48h+
42,A.García,2,2,39,0.2,-104.0,-186.0,down,i,1,stable,0.0,0.0,48h+
43,Alex Moreno,2,2,40,4.4,-6054.0,-10711.0,down,u,1,stable,0.0,0.0,48h+
44,Bogarde,2,2,40,0.5,1668.0,2821.0,up,a,0,stable,0.0,0.0,48h+
45,Sousa,2,2,40,0.3,-84.0,-124.0,down,a,0,stable,0.0,0.0,48h+
46,Yasin,2,2,40,0.2,-80.0,-138.0,down,a,0,stable,0.0,0.0,48h+
47,Rogers,2,3,70,7.9,-2279.0,-4325.0,down,a,0,stable,0.0,0.0,48h+
48,Tielemans,2,3,59,1.4,-5773.0,-9339.0,down,i,1,stable,0.0,0.0,48h+
49,Bailey,2,3,55,0.1,-120.0,-224.0,down,u,1,stable,0.0,0.0,48h+
50,Buendía,2,3,53,0.1,5.0,8.0,up,a,0,stable,0.0,0.0,48h+
51,Iling Jr,2,3,55,0.0,-13.0,-28.0,down,a,0,stable,0.0,0.0,48h+
53,Malen,2,3,52,0.8,-973.0,-1597.0,down,a,0,stable,0.0,0.0,48h+
54,McGinn,2,3,55,0.6,66.0,68.0,up,a,0,stable,0.0,0.0,48h+
55,Barkley,2,3,49,0.0,-35.0,-70.0,down,i,1,stable,0.0,0.0,48h+
56,Barrenechea,2,3,50,0.0,0.0,0.0,flat,u,1,stable,0.0,0.0,48h+
57,Dobbin,2,3,50,0.0,-28.0,-58.0,down,u,1,stable,0.0,0.0,48h+
58,Kamara,2,3,49,0.1,32.0,-90.0,up,a,1,stable,0.0,0.0,48h+
59,Onana,2,3,49,0.9,-1946.0,-3529.0,down,i,1,stable,0.0,0.0,48h+
60,Broggio,2,3,45,0.3,79.0,129.0,up,a,0,stable,0.0,0.0,48h+
61,Dendoncker,2,3,45,0.2,-135.0,-252.0,down,u,1,stable,0.0,0.0,48h+
62,Jimoh-Aloba,2,3,45,0.1,-10.0,14.0,down,a,0,stable,0.0,0.0,48h+
63,Young,2,3,45,0.6,-44.0,-152.0,down,a,0,stable,0.0,0.0,48h+
64,Watkins,2,4,88,14.9,-10912.0,-20320.0,down,a,0,stable,0.0,0.0,48h+
65,Redmond,2,4,45,0.6,-527.0,-1073.0,down,u,1,stable,0.0,0.0,48h+
389,Elliott,2,3,54,0.5,1882.0,3799.0,up,a,0,stable,0.0,0.0,48h+
456,Sancho,2,3,59,0.2,142.0,281.0,up,a,0,stable,0.0,0.0,48h+
677,Guessand,2,3,64,0.0,-24.0,-53.0,down,a,0,stable,0.0,0.0,48h+
688,Wright,2,1,40,0.5,-47.0,-114.0,down,a,0,stable,0.0,0.0,48h+
701,Rowe,2,2,40,0.1,-48.0,-82.0,down,a,0,stable,0.0,0.0,48h+
702,Burrowes,2,3,45,0.1,-5.0,-10.0,down,a,0,stable,0.0,0.0,48h+
703,Proctor,2,1,40,0.3,54.0,68.0,up,a,0,stable,0.0,0.0,48h+
710,Patterson,2,2,40,0.1,-29.0,-50.0,down,a,0,stable,0.0,0.0,48h+
719,Lindelöf,2,2,45,0.0,-50.0,-31.0,down,d,1,stable,0.0,0.0,48h+
183,Weiss,3,1,44,0.1,-67.0,-97.0,down,a,0,stable,0.0,0.0,48h+
184,Green,3,1,40,0.3,-242.0,-476.0,down,u,1,stable,0.0,0.0,48h+
185,Hladký,3,1,40,0.2,17.0,10.0,up,a,0,stable,0.0,0.0,48h+
186,Roberts,3,2,44,0.0,-31.0,-68.0,down,d,1,stable,0.0,0.0,48h+
187,Walker,3,2,45,1.7,-134.0,-310.0,down,a,0,stable,0.0,0.0,48h+
188,Delcroix,3,2,40,0.2,-104.0,-187.0,down,a,0,stable,0.0,0.0,48h+
189,Dodgson,3,2,40,0.0,-10.0,-18.0,down,u,1,stable,0.0,0.0,48h+
190,Ekdal,3,2,40,1.4,3684.0,6291.0,up,a,0,stable,0.0,0.0,48h+
191,Estève,3,2,40,16.5,-2030.0,-4021.0,down,a,0,stable,0.0,0.0,48h+
192,Hartman,3,2,40,0.5,303.0,452.0,up,a,0,stable,0.0,0.0,48h+
193,Humphreys,3,2,40,0.1,-8.0,-21.0,down,a,0,stable,0.0,0.0,48h+
194,Jordan,3,2,40,0.1,-63.0,-134.0,down,d,1,stable,0.0,0.0,48h+
195,Lucas Pires,3,2,39,0.2,451.0,828.0,up,a,0,stable,0.0,0.0,48h+
196,Sambo,3,2,40,0.1,-33.0,-64.0,down,u,1,stable,0.0,0.0,48h+
197,Sonne,3,2,40,0.1,-45.0,-88.0,down,a,0,stable,0.0,0.0,48h+
198,Tuanzebe,3,2,39,2.0,-141.0,76.0,down,a,0,stable,0.0,0.0,48h+
199,Worrall,3,2,40,0.1,-16.0,-30.0,down,a,0,stable,0.0,0.0,48h+
200,Anthony,3,3,55,1.3,5860.0,9762.0,up,a,0,stable,0.0,0.0,48h+
201,Benson,3,3,54,0.0,-4.0,-10.0,down,a,0,stable,0.0,0.0,48h+
202,Bruun Larsen,3,3,54,0.0,-54.0,-109.0,down,d,1,stable,0.0,0.0,48h+
203,Boateng,3,3,49,0.0,-18.0,-32.0,down,a,0,stable,0.0,0.0,48h+
204,Churlinov,3,3,49,0.0,-16.0,-28.0,down,u,1,stable,0.0,0.0,48h+
