element,web_name,team_name,position,gw,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,in_dreamteam,team,element_type
1,Raya,Arsenal,GK,2,90,6,0,0,1,0,0,0,0,0,0,1,0,28,13.4,0.0,0.0,1.3,0,3,0,0,1,0.00,0.00,0.00,0.17,False,1,1
2,Arrizabalaga,Arsenal,GK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,1
3,Hein,Arsenal,GK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,1
4,Setford,Arsenal,GK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,1
5,Gabriel,Arsenal,DEF,2,90,6,0,0,1,0,0,0,0,0,0,0,0,26,13.4,3.3,6.0,2.3,3,4,0,3,1,0.04,0.01,0.05,0.17,False,1,2
6,Saliba,Arsenal,DEF,2,90,6,0,0,1,0,0,0,0,0,0,0,0,27,18.4,2.1,2.0,2.3,5,4,0,5,1,0.00,0.01,0.01,0.17,False,1,2
7,Calafiori,Arsenal,DEF,2,63,13,0,2,1,0,0,0,0,0,0,0,1,38,38.0,21.4,22.0,8.1,1,1,0,1,1,0.39,0.01,0.40,0.17,True,1,2
8,J.Timber,Arsenal,DEF,2,63,24,2,1,1,0,0,0,0,0,0,0,3,68,95.0,28.5,75.0,19.9,2,1,4,6,1,0.81,0.05,0.86,0.17,True,1,2
9,Kiwior,Arsenal,DEF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
10,Lewis-Skelly,Arsenal,DEF,2,26,1,0,0,0,0,0,0,0,0,0,0,0,7,4.2,3.7,0.0,0.8,0,2,1,1,0,0.00,0.00,0.00,0.00,False,1,2
11,White,Arsenal,DEF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
12,Zinchenko,Arsenal,DEF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
13,Clarke,Arsenal,DEF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
14,Kacurri,Arsenal,DEF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
15,Nichols,Arsenal,DEF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
16,Saka,Arsenal,MID,2,52,6,1,0,0,0,0,0,0,0,0,0,0,27,40.4,30.4,21.0,9.2,0,4,0,4,1,0.11,0.03,0.14,0.17,False,1,3
17,Ødegaard,Arsenal,MID,2,37,1,0,0,0,0,0,0,0,0,0,0,0,5,1.6,4.4,3.0,0.9,0,1,1,2,1,0.05,0.05,0.10,0.17,False,1,3
18,Madueke,Arsenal,MID,2,63,3,0,0,1,0,0,0,0,0,0,0,0,10,5.6,26.9,10.0,4.3,0,3,0,3,1,0.00,0.09,0.09,0.17,False,1,3
19,Martinelli,Arsenal,MID,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
20,Trossard,Arsenal,MID,2,37,1,0,0,0,0,0,0,0,0,0,0,0,4,5.4,21.5,4.0,3.1,0,0,0,0,0,0.07,0.03,0.10,0.00,False,1,3
21,Rice,Arsenal,MID,2,90,6,0,1,1,0,0,0,0,0,0,0,0,26,25.2,50.0,2.0,7.7,0,3,0,3,1,0.00,0.54,0.54,0.17,False,1,3
22,Merino,Arsenal,MID,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
23,Fábio Vieira,Arsenal,MID,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
24,Nørgaard,Arsenal,MID,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
25,Nwaneri,Arsenal,MID,2,52,1,0,0,0,0,0,0,0,0,0,0,0,3,5.6,1.8,5.0,1.2,0,3,1,4,0,0.02,0.01,0.03,0.00,False,1,3
26,Zubimendi,Arsenal,MID,2,90,3,0,0,1,0,0,0,0,0,0,0,0,12,6.4,6.9,1.0,1.4,1,5,2,8,1,0.02,0.02,0.04,0.17,False,1,3
27,Nelson,Arsenal,MID,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
28,Kabia,Arsenal,MID,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
29,Sambi,Arsenal,MID,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
30,Havertz,Arsenal,FWD,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,4
31,G.Jesus,Arsenal,FWD,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,4
32,Martinez,Aston Villa,GK,2,90,2,0,0,0,1,0,0,0,0,0,1,0,15,12.8,0.0,0.0,1.3,0,10,0,0,1,0.00,0.01,0.01,1.21,False,2,1
33,M.Bizot,Aston Villa,GK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,1
34,Gauci,Aston Villa,GK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,1
35,Marschall,Aston Villa,GK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,1
36,Cash,Aston Villa,DEF,2,90,2,0,0,0,1,0,0,0,0,0,0,0,18,20.4,25.4,4.0,5.0,3,5,3,6,1,0.00,0.23,0.23,1.21,False,2,2
37,Digne,Aston Villa,DEF,2,63,2,0,0,0,1,0,0,0,0,0,0,0,8,6.8,8.4,6.0,2.1,1,2,1,2,1,0.00,0.16,0.16,1.11,False,2,2
38,Konsa,Aston Villa,DEF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,2
39,Maatsen,Aston Villa,DEF,2,26,1,0,0,0,0,0,0,0,0,0,0,0,10,10.6,15.4,2.0,2.8,3,2,1,4,0,0.02,0.06,0.08,0.11,False,2,2
40,Mings,Aston Villa,DEF,2,90,2,0,0,0,1,0,0,0,0,0,0,0,12,17.6,12.3,15.0,4.5,5,6,0,5,1,0.11,0.03,0.14,1.21,False,2,2
41,Pau,Aston Villa,DEF,2,90,2,0,0,0,1,0,0,0,0,0,0,0,8,17.0,5.8,9.0,3.2,1,8,2,3,1,0.07,0.13,0.20,1.21,False,2,2
42,A.García,Aston Villa,DEF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,2
43,Alex Moreno,Aston Villa,DEF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,2
44,Bogarde,Aston Villa,DEF,2,16,0,0,0,0,0,0,0,0,1,0,0,0,-3,0.0,2.3,2.0,0.3,0,0,0,0,0,0.00,0.03,0.03,0.11,False,2,2
45,Sousa,Aston Villa,DEF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,2
46,Yasin,Aston Villa,DEF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,2
47,Rogers,Aston Villa,MID,2,90,2,0,0,0,1,0,0,0,0,0,0,0,3,4.4,21.3,17.0,4.3,0,1,0,1,1,0.10,0.12,0.22,1.21,False,2,3
48,Tielemans,Aston Villa,MID,2,90,2,0,0,0,1,0,0,0,0,0,0,0,13,11.2,50.8,12.0,7.4,0,2,1,3,1,0.04,0.29,0.33,1.21,False,2,3
49,Bailey,Aston Villa,MID,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,3
50,Buendía,Aston Villa,MID,2,58,1,0,0,0,0,0,0,0,0,0,0,0,1,0.8,12.2,9.0,2.2,2,0,1,3,0,0.20,0.20,0.40,0.28,False,2,3
51,Iling Jr,Aston Villa,MID,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,3
52,J.Ramsey,Newcastle,MID,2,14,1,0,0,0,1,0,0,0,0,0,0,0,5,4.2,11.0,0.0,1.5,0,3,1,4,0,0.00,0.02,0.02,0.37,False,15,3
53,Malen,Aston Villa,MID,2,26,1,0,0,0,0,0,0,0,0,0,0,0,3,0.4,2.8,2.0,0.5,0,1,0,1,0,0.00,0.02,0.02,0.11,False,2,3
54,McGinn,Aston Villa,MID,2,73,2,0,0,0,1,0,0,0,0,0,0,0,14,17.6,31.1,15.0,6.4,2,2,0,4,1,0.05,0.12,0.17,1.11,False,2,3
55,Barkley,Aston Villa,MID,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,3
56,Barrenechea,Aston Villa,MID,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,3
57,Dobbin,Aston Villa,MID,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,3
58,Kamara,Aston Villa,MID,2,15,1,0,0,0,1,0,0,0,0,0,0,0,5,1.6,0.8,2.0,0.4,0,0,1,1,1,0.00,0.00,0.00,0.83,False,2,3
59,Onana,Aston Villa,MID,2,63,1,0,0,0,1,0,0,0,1,0,0,0,10,14.6,3.2,16.0,3.4,4,3,2,9,1,0.23,0.04,0.27,1.11,False,2,3
60,Broggio,Aston Villa,MID,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,3
61,Dendoncker,Aston Villa,MID,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,3
62,Jimoh-Aloba,Aston Villa,MID,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,3
63,Young,Aston Villa,MID,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,3
64,Watkins,Aston Villa,FWD,2,90,2,0,0,0,1,0,0,0,0,0,0,0,6,1.8,14.1,22.0,3.8,0,3,1,4,1,0.37,0.08,0.45,1.21,False,2,4
65,Redmond,Aston Villa,FWD,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,4
66,Neto,Bournemouth,GK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,4,1
67,Petrović,Bournemouth,GK,2,90,6,0,0,1,0,0,0,0,0,0,1,0,23,11.4,0.0,0.0,1.1,2,5,0,0,1,0.00,0.00,0.00,0.46,False,4,1
68,Dennis,Bournemouth,GK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,4,1
69,McKenna,Bournemouth,GK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,4,1
70,Paulsen,Bournemouth,GK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,4,1
71,Zabarnyi,Bournemouth,DEF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,4,2
72,Senesi,Bournemouth,DEF,2,90,9,0,0,1,0,0,0,0,0,0,0,1,31,25.0,0.9,2.0,2.8,13,4,1,14,1,0.00,0.01,0.01,0.46,False,4,2
73,Smith,Bournemouth,DEF,2,90,6,0,0,1,0,0,0,0,0,0,0,0,24,5.6,3.4,0.0,0.9,2,1,0,2,1,0.00,0.01,0.01,0.46,False,4,2
